"Estacion","Fecha inicial","Fecha final","NO2"
"TANQUES EPM - GIRARDOTA","2025-10-31","","18.82016957"
"TANQUES EPM - GIRARDOTA","2025-10-30","","24.54732292"
"TANQUES EPM - GIRARDOTA","2025-10-29","","19.10901792"
"TANQUES EPM - GIRARDOTA","2025-10-28","","22.18093083"
"TANQUES EPM - GIRARDOTA","2025-10-27","","30.59753458"
"TANQUES EPM - GIRARDOTA","2025-10-26","","21.68658333"
"TANQUES EPM - GIRARDOTA","2025-10-25","","29.69403"
"TANQUES EPM - GIRARDOTA","2025-10-24","","42.90038875"
"TANQUES EPM - GIRARDOTA","2025-10-23","","32.80543917"
"TANQUES EPM - GIRARDOTA","2025-10-22","","40.39528333"
"TANQUES EPM - GIRARDOTA","2025-10-21","","18.6390775"
"TANQUES EPM - GIRARDOTA","2025-10-20","","8.5485225"
"TANQUES EPM - GIRARDOTA","2025-10-19","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-18","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-17","","8.74267625"
"TANQUES EPM - GIRARDOTA","2025-10-16","","12.56645167"
"TANQUES EPM - GIRARDOTA","2025-10-15","","25.47896292"
"TANQUES EPM - GIRARDOTA","2025-10-14","","15.42780375"
"TANQUES EPM - GIRARDOTA","2025-10-13","","22.17763167"
"TANQUES EPM - GIRARDOTA","2025-10-12","","22.64198583"
"TANQUES EPM - GIRARDOTA","2025-10-11","","27.98407708"
"TANQUES EPM - GIRARDOTA","2025-10-10","","33.62108708"
"TANQUES EPM - GIRARDOTA","2025-10-09","","30.39924375"
"TANQUES EPM - GIRARDOTA","2025-10-08","","46.62927292"
"TANQUES EPM - GIRARDOTA","2025-10-07","","20.87214167"
"TANQUES EPM - GIRARDOTA","2025-10-06","","27.58816958"
"TANQUES EPM - GIRARDOTA","2025-10-05","","15.42782583"
"TANQUES EPM - GIRARDOTA","2025-10-04","","19.28808292"
"TANQUES EPM - GIRARDOTA","2025-10-03","","28.86746792"
"TANQUES EPM - GIRARDOTA","2025-10-02","","22.09102208"
"TANQUES EPM - GIRARDOTA","2025-10-01","","34.10011958"
"TANQUES EPM - GIRARDOTA","2025-09-30","","37.03293652"
"TANQUES EPM - GIRARDOTA","2025-09-29","","11.21685667"
"TANQUES EPM - GIRARDOTA","2025-09-28","","15.74434042"
"TANQUES EPM - GIRARDOTA","2025-09-27","","34.31931958"
"TANQUES EPM - GIRARDOTA","2025-09-26","","34.881315"
"TANQUES EPM - GIRARDOTA","2025-09-25","","27.72466417"
"TANQUES EPM - GIRARDOTA","2025-09-24","","12.23888167"
"TANQUES EPM - GIRARDOTA","2025-09-23","","12.70708292"
"TANQUES EPM - GIRARDOTA","2025-09-22","","8.73187917"
"TANQUES EPM - GIRARDOTA","2025-09-21","","11.26580208"
"TANQUES EPM - GIRARDOTA","2025-09-20","","11.78363125"
"TANQUES EPM - GIRARDOTA","2025-09-19","","27.51263875"
"TANQUES EPM - GIRARDOTA","2025-09-18","","27.08572958"
"TANQUES EPM - GIRARDOTA","2025-09-17","","18.22284667"
"TANQUES EPM - GIRARDOTA","2025-09-16","","20.52051792"
"TANQUES EPM - GIRARDOTA","2025-09-15","","11.29473"
"TANQUES EPM - GIRARDOTA","2025-09-14","","9.42530042"
"TANQUES EPM - GIRARDOTA","2025-09-13","","11.84891333"
"TANQUES EPM - GIRARDOTA","2025-09-12","","15.04625"
"TANQUES EPM - GIRARDOTA","2025-09-11","","19.65892542"
"TANQUES EPM - GIRARDOTA","2025-09-10","","13.60576083"
"TANQUES EPM - GIRARDOTA","2025-09-09","","6.77904583"
"TANQUES EPM - GIRARDOTA","2025-09-08","","12.44533625"
"TANQUES EPM - GIRARDOTA","2025-09-07","","6.71765042"
"TANQUES EPM - GIRARDOTA","2025-09-06","","12.46887292"
"TANQUES EPM - GIRARDOTA","2025-09-05","","13.10035"
"TANQUES EPM - GIRARDOTA","2025-09-04","","16.60888708"
"TANQUES EPM - GIRARDOTA","2025-09-03","","17.86251875"
"TANQUES EPM - GIRARDOTA","2025-09-02","","12.57351042"
"TANQUES EPM - GIRARDOTA","2025-09-01","","15.67831458"
"TANQUES EPM - GIRARDOTA","2025-08-31","","18.32493782"
"TANQUES EPM - GIRARDOTA","2025-08-30","","25.3282526"
"TANQUES EPM - GIRARDOTA","2025-08-29","","24.75687047"
"TANQUES EPM - GIRARDOTA","2025-08-28","","17.39126882"
"TANQUES EPM - GIRARDOTA","2025-08-27","","18.34947238"
"TANQUES EPM - GIRARDOTA","2025-08-26","","17.48442887"
"TANQUES EPM - GIRARDOTA","2025-08-25","","15.92940543"
"TANQUES EPM - GIRARDOTA","2025-08-24","","13.32026196"
"TANQUES EPM - GIRARDOTA","2025-08-23","","15.72091702"
"TANQUES EPM - GIRARDOTA","2025-08-22","","19.07428548"
"TANQUES EPM - GIRARDOTA","2025-08-21","","14.69445746"
"TANQUES EPM - GIRARDOTA","2025-08-20","","14.42453729"
"TANQUES EPM - GIRARDOTA","2025-08-19","","14.66293801"
"TANQUES EPM - GIRARDOTA","2025-08-18","","10.31785637"
"TANQUES EPM - GIRARDOTA","2025-08-17","","14.20799682"
"TANQUES EPM - GIRARDOTA","2025-08-16","","22.26515752"
"TANQUES EPM - GIRARDOTA","2025-08-15","","25.66759268"
"TANQUES EPM - GIRARDOTA","2025-08-14","","18.30736757"
"TANQUES EPM - GIRARDOTA","2025-08-13","","13.7149625"
"TANQUES EPM - GIRARDOTA","2025-08-12","","13.52760708"
"TANQUES EPM - GIRARDOTA","2025-08-11","","15.82024184"
"TANQUES EPM - GIRARDOTA","2025-08-10","","19.40343124"
"TANQUES EPM - GIRARDOTA","2025-08-09","","14.55288327"
"TANQUES EPM - GIRARDOTA","2025-08-08","","20.24136926"
