"Estacion","Fecha inicial","Fecha final","O3"
"TANQUES EPM - GIRARDOTA","2025-10-31","","29.98360609"
"TANQUES EPM - GIRARDOTA","2025-10-30","","24.37714125"
"TANQUES EPM - GIRARDOTA","2025-10-29","","26.2164625"
"TANQUES EPM - GIRARDOTA","2025-10-28","","26.83774458"
"TANQUES EPM - GIRARDOTA","2025-10-27","","21.35247792"
"TANQUES EPM - GIRARDOTA","2025-10-26","","27.19743417"
"TANQUES EPM - GIRARDOTA","2025-10-25","","26.45353208"
"TANQUES EPM - GIRARDOTA","2025-10-24","","23.044655"
"TANQUES EPM - GIRARDOTA","2025-10-23","","23.77220917"
"TANQUES EPM - GIRARDOTA","2025-10-22","","16.87270917"
"TANQUES EPM - GIRARDOTA","2025-10-21","","28.57896917"
"TANQUES EPM - GIRARDOTA","2025-10-20","","18.18067208"
"TANQUES EPM - GIRARDOTA","2025-10-19","","28.92230917"
"TANQUES EPM - GIRARDOTA","2025-10-18","","28.21110458"
"TANQUES EPM - GIRARDOTA","2025-10-17","","24.11554875"
"TANQUES EPM - GIRARDOTA","2025-10-16","","28.51357083"
"TANQUES EPM - GIRARDOTA","2025-10-15","","17.24057292"
"TANQUES EPM - GIRARDOTA","2025-10-14","","23.2735475"
"TANQUES EPM - GIRARDOTA","2025-10-13","","13.82352333"
"TANQUES EPM - GIRARDOTA","2025-10-12","","26.51075417"
"TANQUES EPM - GIRARDOTA","2025-10-11","","26.15106375"
"TANQUES EPM - GIRARDOTA","2025-10-10","","21.62224625"
"TANQUES EPM - GIRARDOTA","2025-10-09","","31.00687333"
"TANQUES EPM - GIRARDOTA","2025-10-08","","13.19406583"
"TANQUES EPM - GIRARDOTA","2025-10-07","","32.84619542"
"TANQUES EPM - GIRARDOTA","2025-10-06","","33.84351625"
"TANQUES EPM - GIRARDOTA","2025-10-05","","39.91736542"
"TANQUES EPM - GIRARDOTA","2025-10-04","","41.74851042"
"TANQUES EPM - GIRARDOTA","2025-10-03","","32.3802325"
"TANQUES EPM - GIRARDOTA","2025-10-02","","29.22810792"
"TANQUES EPM - GIRARDOTA","2025-10-01","","19.88122375"
"TANQUES EPM - GIRARDOTA","2025-09-30","","21.40223913"
"TANQUES EPM - GIRARDOTA","2025-09-29","","35.75641083"
"TANQUES EPM - GIRARDOTA","2025-09-28","","31.83252375"
"TANQUES EPM - GIRARDOTA","2025-09-27","","32.20038917"
"TANQUES EPM - GIRARDOTA","2025-09-26","","15.02521333"
"TANQUES EPM - GIRARDOTA","2025-09-25","","49.22841792"
"TANQUES EPM - GIRARDOTA","2025-09-24","","46.269155"
"TANQUES EPM - GIRARDOTA","2025-09-23","","32.20856375"
"TANQUES EPM - GIRARDOTA","2025-09-22","","36.28776833"
"TANQUES EPM - GIRARDOTA","2025-09-21","","35.60109"
"TANQUES EPM - GIRARDOTA","2025-09-20","","46.93131042"
