"Estacion","Fecha inicial","Fecha final","PLiquida"
"TANQUES EPM - GIRARDOTA","2025-10-31","","0.1273913"
"TANQUES EPM - GIRARDOTA","2025-10-30","","0.03791667"
"TANQUES EPM - GIRARDOTA","2025-10-29","","0.20916667"
"TANQUES EPM - GIRARDOTA","2025-10-28","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-27","","0.42833333"
"TANQUES EPM - GIRARDOTA","2025-10-26","","1.59833333"
"TANQUES EPM - GIRARDOTA","2025-10-25","","0.09125"
"TANQUES EPM - GIRARDOTA","2025-10-24","","0.2"
"TANQUES EPM - GIRARDOTA","2025-10-23","","0.07375"
"TANQUES EPM - GIRARDOTA","2025-10-22","","0.49958333"
"TANQUES EPM - GIRARDOTA","2025-10-21","","0.7425"
"TANQUES EPM - GIRARDOTA","2025-10-20","","0.82166667"
"TANQUES EPM - GIRARDOTA","2025-10-19","","0.03375"
"TANQUES EPM - GIRARDOTA","2025-10-18","","0.03083333"
"TANQUES EPM - GIRARDOTA","2025-10-17","","0.38875"
"TANQUES EPM - GIRARDOTA","2025-10-16","","0.57791667"
"TANQUES EPM - GIRARDOTA","2025-10-15","","0.45916667"
"TANQUES EPM - GIRARDOTA","2025-10-14","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-13","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-12","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-11","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-10","","0.34166667"
"TANQUES EPM - GIRARDOTA","2025-10-09","","0.3775"
"TANQUES EPM - GIRARDOTA","2025-10-08","","0.29125"
"TANQUES EPM - GIRARDOTA","2025-10-07","","0.00125"
"TANQUES EPM - GIRARDOTA","2025-10-06","","0.78"
"TANQUES EPM - GIRARDOTA","2025-10-05","","0.15208333"
"TANQUES EPM - GIRARDOTA","2025-10-04","","4.1667E-4"
"TANQUES EPM - GIRARDOTA","2025-10-03","","0.15291667"
"TANQUES EPM - GIRARDOTA","2025-10-02","","0.00958333"
"TANQUES EPM - GIRARDOTA","2025-10-01","","0.72916667"
"TANQUES EPM - GIRARDOTA","2025-09-30","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-29","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-28","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-27","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-26","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-25","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-24","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-23","","0.03791667"
"TANQUES EPM - GIRARDOTA","2025-09-22","","4.1667E-4"
"TANQUES EPM - GIRARDOTA","2025-09-21","","0.00583333"
"TANQUES EPM - GIRARDOTA","2025-09-20","","0.14791667"
"TANQUES EPM - GIRARDOTA","2025-09-19","","1.16708333"
"TANQUES EPM - GIRARDOTA","2025-09-18","","0.52125"
"TANQUES EPM - GIRARDOTA","2025-09-17","","0.04583333"
"TANQUES EPM - GIRARDOTA","2025-09-16","","8.3333E-4"
"TANQUES EPM - GIRARDOTA","2025-09-15","","0.07166667"
"TANQUES EPM - GIRARDOTA","2025-09-14","","0.03083333"
"TANQUES EPM - GIRARDOTA","2025-09-13","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-12","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-11","","0.24833333"
"TANQUES EPM - GIRARDOTA","2025-09-10","","0.05333333"
"TANQUES EPM - GIRARDOTA","2025-09-09","","0.03416667"
"TANQUES EPM - GIRARDOTA","2025-09-08","","0.12333333"
"TANQUES EPM - GIRARDOTA","2025-09-07","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-06","","0.00291667"
"TANQUES EPM - GIRARDOTA","2025-09-05","","0.01625"
"TANQUES EPM - GIRARDOTA","2025-09-04","","0.30666667"
"TANQUES EPM - GIRARDOTA","2025-09-03","","0.93708333"
"TANQUES EPM - GIRARDOTA","2025-09-02","","0.02833333"
"TANQUES EPM - GIRARDOTA","2025-09-01","","0.61416667"
"TANQUES EPM - GIRARDOTA","2025-08-31","","4.3478E-4"
"TANQUES EPM - GIRARDOTA","2025-08-30","","0.40166667"
"TANQUES EPM - GIRARDOTA","2025-08-29","","0.00291667"
