"Estacion","Fecha inicial","Fecha final","PM10"
"TANQUES EPM - GIRARDOTA","2025-10-31","","31.39130435"
"TANQUES EPM - GIRARDOTA","2025-10-30","","35.41666667"
"TANQUES EPM - GIRARDOTA","2025-10-29","","38.25"
"TANQUES EPM - GIRARDOTA","2025-10-28","","30.70833333"
"TANQUES EPM - GIRARDOTA","2025-10-27","","26.625"
"TANQUES EPM - GIRARDOTA","2025-10-26","","18.95833333"
"TANQUES EPM - GIRARDOTA","2025-10-25","","34.375"
"TANQUES EPM - GIRARDOTA","2025-10-24","","47.66666667"
"TANQUES EPM - GIRARDOTA","2025-10-23","","42.79166667"
"TANQUES EPM - GIRARDOTA","2025-10-22","","55.375"
"TANQUES EPM - GIRARDOTA","2025-10-21","","32.41666667"
"TANQUES EPM - GIRARDOTA","2025-10-20","","22.79166667"
"TANQUES EPM - GIRARDOTA","2025-10-19","","21.70833333"
"TANQUES EPM - GIRARDOTA","2025-10-18","","41.91666667"
"TANQUES EPM - GIRARDOTA","2025-10-17","","32.70833333"
"TANQUES EPM - GIRARDOTA","2025-10-16","","24.875"
"TANQUES EPM - GIRARDOTA","2025-10-15","","36.875"
"TANQUES EPM - GIRARDOTA","2025-10-14","","26.5"
"TANQUES EPM - GIRARDOTA","2025-10-13","","25.04166667"
"TANQUES EPM - GIRARDOTA","2025-10-12","","25.125"
"TANQUES EPM - GIRARDOTA","2025-10-11","","34.5"
"TANQUES EPM - GIRARDOTA","2025-10-10","","33.58333333"
"TANQUES EPM - GIRARDOTA","2025-10-09","","43.33333333"
"TANQUES EPM - GIRARDOTA","2025-10-08","","35.70833333"
"TANQUES EPM - GIRARDOTA","2025-10-07","","36.16666667"
"TANQUES EPM - GIRARDOTA","2025-10-06","","26.75"
"TANQUES EPM - GIRARDOTA","2025-10-05","","25.04166667"
"TANQUES EPM - GIRARDOTA","2025-10-04","","31.5"
"TANQUES EPM - GIRARDOTA","2025-10-03","","28.91666667"
"TANQUES EPM - GIRARDOTA","2025-10-02","","36.125"
"TANQUES EPM - GIRARDOTA","2025-10-01","","32.33333333"
"TANQUES EPM - GIRARDOTA","2025-09-30","","41.82608696"
"TANQUES EPM - GIRARDOTA","2025-09-29","","20.91666667"
"TANQUES EPM - GIRARDOTA","2025-09-28","","25.0"
"TANQUES EPM - GIRARDOTA","2025-09-27","","36.625"
"TANQUES EPM - GIRARDOTA","2025-09-26","","43.91666667"
"TANQUES EPM - GIRARDOTA","2025-09-25","","31.29166667"
"TANQUES EPM - GIRARDOTA","2025-09-24","","34.45833333"
"TANQUES EPM - GIRARDOTA","2025-09-23","","31.0"
"TANQUES EPM - GIRARDOTA","2025-09-22","","19.08333333"
"TANQUES EPM - GIRARDOTA","2025-09-21","","23.04166667"
"TANQUES EPM - GIRARDOTA","2025-09-20","","23.08333333"
"TANQUES EPM - GIRARDOTA","2025-09-19","","26.66666667"
"TANQUES EPM - GIRARDOTA","2025-09-18","","31.04166667"
"TANQUES EPM - GIRARDOTA","2025-09-17","","45.66666667"
"TANQUES EPM - GIRARDOTA","2025-09-16","","43.83333333"
"TANQUES EPM - GIRARDOTA","2025-09-15","","24.875"
"TANQUES EPM - GIRARDOTA","2025-09-14","","28.625"
"TANQUES EPM - GIRARDOTA","2025-09-13","","38.20833333"
"TANQUES EPM - GIRARDOTA","2025-09-12","","42.79166667"
"TANQUES EPM - GIRARDOTA","2025-09-11","","38.20833333"
"TANQUES EPM - GIRARDOTA","2025-09-10","","36.70833333"
"TANQUES EPM - GIRARDOTA","2025-09-09","","22.0"
"TANQUES EPM - GIRARDOTA","2025-09-08","","20.79166667"
"TANQUES EPM - GIRARDOTA","2025-09-07","","12.58333333"
"TANQUES EPM - GIRARDOTA","2025-09-06","","32.83333333"
"TANQUES EPM - GIRARDOTA","2025-09-05","","38.83333333"
"TANQUES EPM - GIRARDOTA","2025-09-04","","29.25"
"TANQUES EPM - GIRARDOTA","2025-09-03","","25.58333333"
"TANQUES EPM - GIRARDOTA","2025-09-02","","32.33333333"
"TANQUES EPM - GIRARDOTA","2025-09-01","","26.125"
"TANQUES EPM - GIRARDOTA","2025-08-31","","53.52173913"
"TANQUES EPM - GIRARDOTA","2025-08-30","","64.19047619"
"TANQUES EPM - GIRARDOTA","2025-08-29","","54.36363636"
"TANQUES EPM - GIRARDOTA","2025-08-28","","41.65"
"TANQUES EPM - GIRARDOTA","2025-08-27","","43.66666667"
"TANQUES EPM - GIRARDOTA","2025-08-26","","49.3125"
"TANQUES EPM - GIRARDOTA","2025-08-25","","36.21052632"
"TANQUES EPM - GIRARDOTA","2025-08-24","","31.95454545"
"TANQUES EPM - GIRARDOTA","2025-08-23","","31.23809524"
"TANQUES EPM - GIRARDOTA","2025-08-22","","36.42857143"
"TANQUES EPM - GIRARDOTA","2025-08-21","","25.38095238"
"TANQUES EPM - GIRARDOTA","2025-08-20","","48.45454545"
"TANQUES EPM - GIRARDOTA","2025-08-19","","28.0"
"TANQUES EPM - GIRARDOTA","2025-08-18","","14.75"
"TANQUES EPM - GIRARDOTA","2025-08-17","","38.26315789"
"TANQUES EPM - GIRARDOTA","2025-08-16","","29.45833333"
"TANQUES EPM - GIRARDOTA","2025-08-15","","40.95652174"
"TANQUES EPM - GIRARDOTA","2025-08-14","","60.86956522"
"TANQUES EPM - GIRARDOTA","2025-08-13","","37.73913043"
"TANQUES EPM - GIRARDOTA","2025-08-12","","39.27272727"
"TANQUES EPM - GIRARDOTA","2025-08-11","","28.86363636"
"TANQUES EPM - GIRARDOTA","2025-08-10","","27.86956522"
"TANQUES EPM - GIRARDOTA","2025-08-09","","35.42857143"
"TANQUES EPM - GIRARDOTA","2025-08-08","","32.42857143"
"TANQUES EPM - GIRARDOTA","2025-08-07","","22.73684211"
"TANQUES EPM - GIRARDOTA","2025-08-06","","30.10526316"
"TANQUES EPM - GIRARDOTA","2025-08-05","","42.0"
"TANQUES EPM - GIRARDOTA","2025-08-04","","25.33333333"
"TANQUES EPM - GIRARDOTA","2025-08-03","","17.78947368"
"TANQUES EPM - GIRARDOTA","2025-08-02","","47.39130435"
"TANQUES EPM - GIRARDOTA","2025-08-01","","36.57142857"
"TANQUES EPM - GIRARDOTA","2025-07-31","","32.33333333"
"TANQUES EPM - GIRARDOTA","2025-07-30","","27.47619048"
"TANQUES EPM - GIRARDOTA","2025-07-29","","41.72222222"
"TANQUES EPM - GIRARDOTA","2025-07-28","","25.42105263"
"TANQUES EPM - GIRARDOTA","2025-07-27","","20.5625"
"TANQUES EPM - GIRARDOTA","2025-07-26","","27.61904762"
"TANQUES EPM - GIRARDOTA","2025-07-25","","42.08333333"
"TANQUES EPM - GIRARDOTA","2025-07-24","","44.23809524"
"TANQUES EPM - GIRARDOTA","2025-07-23","","36.47826087"
"TANQUES EPM - GIRARDOTA","2025-07-22","","41.52173913"
"TANQUES EPM - GIRARDOTA","2025-07-21","","29.9047619"
"TANQUES EPM - GIRARDOTA","2025-07-20","","32.84210526"
"TANQUES EPM - GIRARDOTA","2025-07-19","","45.33333333"
"TANQUES EPM - GIRARDOTA","2025-07-18","","36.7"
"TANQUES EPM - GIRARDOTA","2025-07-17","","32.61904762"
"TANQUES EPM - GIRARDOTA","2025-07-16","","45.60869565"
"TANQUES EPM - GIRARDOTA","2025-07-15","","38.3"
"TANQUES EPM - GIRARDOTA","2025-07-14","","27.90909091"
"TANQUES EPM - GIRARDOTA","2025-07-13","","25.22727273"
"TANQUES EPM - GIRARDOTA","2025-07-12","","39.36363636"
"TANQUES EPM - GIRARDOTA","2025-07-11","","29.05"
"TANQUES EPM - GIRARDOTA","2025-07-10","","31.45"
"TANQUES EPM - GIRARDOTA","2025-07-09","","32.7"
"TANQUES EPM - GIRARDOTA","2025-07-08","","40.95454545"
"TANQUES EPM - GIRARDOTA","2025-07-07","","35.0"
"TANQUES EPM - GIRARDOTA","2025-07-06","","27.23809524"
"TANQUES EPM - GIRARDOTA","2025-07-05","","29.85714286"
"TANQUES EPM - GIRARDOTA","2025-07-04","","21.68181818"
"TANQUES EPM - GIRARDOTA","2025-07-03","","23.80952381"
"TANQUES EPM - GIRARDOTA","2025-07-02","","27.28571429"
"TANQUES EPM - GIRARDOTA","2025-07-01","","29.63157895"
"TANQUES EPM - GIRARDOTA","2025-06-30","","38.8125"
"TANQUES EPM - GIRARDOTA","2025-06-29","","34.75"
"TANQUES EPM - GIRARDOTA","2025-06-28","","31.85"
"TANQUES EPM - GIRARDOTA","2025-06-27","","32.65217391"
"TANQUES EPM - GIRARDOTA","2025-06-26","","34.60869565"
"TANQUES EPM - GIRARDOTA","2025-06-25","","42.4"
"TANQUES EPM - GIRARDOTA","2025-06-24","","20.04545455"
"TANQUES EPM - GIRARDOTA","2025-06-23","","24.54545455"
