"Estacion","Fecha inicial","Fecha final","PM2.5"
"TANQUES EPM - GIRARDOTA","2025-10-31","","6.52173913"
"TANQUES EPM - GIRARDOTA","2025-10-30","","7.29166667"
"TANQUES EPM - GIRARDOTA","2025-10-29","","8.6875"
"TANQUES EPM - GIRARDOTA","2025-10-28","","8.41666667"
"TANQUES EPM - GIRARDOTA","2025-10-27","","9.83333333"
"TANQUES EPM - GIRARDOTA","2025-10-26","","8.20833333"
"TANQUES EPM - GIRARDOTA","2025-10-25","","10.125"
"TANQUES EPM - GIRARDOTA","2025-10-24","","16.83333333"
"TANQUES EPM - GIRARDOTA","2025-10-23","","14.625"
"TANQUES EPM - GIRARDOTA","2025-10-22","","16.54166667"
"TANQUES EPM - GIRARDOTA","2025-10-21","","7.16666667"
"TANQUES EPM - GIRARDOTA","2025-10-20","","8.0"
"TANQUES EPM - GIRARDOTA","2025-10-19","","8.58333333"
"TANQUES EPM - GIRARDOTA","2025-10-18","","10.0"
"TANQUES EPM - GIRARDOTA","2025-10-17","","11.54166667"
"TANQUES EPM - GIRARDOTA","2025-10-16","","9.54166667"
"TANQUES EPM - GIRARDOTA","2025-10-15","","11.45833333"
"TANQUES EPM - GIRARDOTA","2025-10-14","","7.95833333"
"TANQUES EPM - GIRARDOTA","2025-10-13","","11.16666667"
"TANQUES EPM - GIRARDOTA","2025-10-12","","9.5"
"TANQUES EPM - GIRARDOTA","2025-10-11","","12.20833333"
"TANQUES EPM - GIRARDOTA","2025-10-10","","11.41666667"
"TANQUES EPM - GIRARDOTA","2025-10-09","","13.45833333"
"TANQUES EPM - GIRARDOTA","2025-10-08","","12.16666667"
"TANQUES EPM - GIRARDOTA","2025-10-07","","10.16666667"
"TANQUES EPM - GIRARDOTA","2025-10-06","","6.95833333"
"TANQUES EPM - GIRARDOTA","2025-10-05","","7.375"
"TANQUES EPM - GIRARDOTA","2025-10-04","","9.08333333"
"TANQUES EPM - GIRARDOTA","2025-10-03","","10.25"
"TANQUES EPM - GIRARDOTA","2025-10-02","","10.20833333"
"TANQUES EPM - GIRARDOTA","2025-10-01","","11.625"
"TANQUES EPM - GIRARDOTA","2025-09-30","","12.17391304"
"TANQUES EPM - GIRARDOTA","2025-09-29","","8.75"
"TANQUES EPM - GIRARDOTA","2025-09-28","","11.08333333"
"TANQUES EPM - GIRARDOTA","2025-09-27","","15.16666667"
"TANQUES EPM - GIRARDOTA","2025-09-26","","14.58333333"
"TANQUES EPM - GIRARDOTA","2025-09-25","","13.375"
"TANQUES EPM - GIRARDOTA","2025-09-24","","14.16666667"
"TANQUES EPM - GIRARDOTA","2025-09-23","","11.79166667"
"TANQUES EPM - GIRARDOTA","2025-09-22","","8.95833333"
"TANQUES EPM - GIRARDOTA","2025-09-21","","9.25"
"TANQUES EPM - GIRARDOTA","2025-09-20","","8.91666667"
"TANQUES EPM - GIRARDOTA","2025-09-19","","11.91666667"
"TANQUES EPM - GIRARDOTA","2025-09-18","","13.08333333"
"TANQUES EPM - GIRARDOTA","2025-09-17","","14.54166667"
"TANQUES EPM - GIRARDOTA","2025-09-16","","18.95833333"
"TANQUES EPM - GIRARDOTA","2025-09-15","","11.5"
"TANQUES EPM - GIRARDOTA","2025-09-14","","12.33333333"
"TANQUES EPM - GIRARDOTA","2025-09-13","","13.33333333"
"TANQUES EPM - GIRARDOTA","2025-09-12","","14.45833333"
"TANQUES EPM - GIRARDOTA","2025-09-11","","16.66666667"
"TANQUES EPM - GIRARDOTA","2025-09-10","","14.58333333"
"TANQUES EPM - GIRARDOTA","2025-09-09","","9.95833333"
"TANQUES EPM - GIRARDOTA","2025-09-08","","7.66666667"
"TANQUES EPM - GIRARDOTA","2025-09-07","","6.20833333"
"TANQUES EPM - GIRARDOTA","2025-09-06","","10.66666667"
"TANQUES EPM - GIRARDOTA","2025-09-05","","11.375"
"TANQUES EPM - GIRARDOTA","2025-09-04","","9.70833333"
"TANQUES EPM - GIRARDOTA","2025-09-03","","8.45833333"
"TANQUES EPM - GIRARDOTA","2025-09-02","","9.79166667"
"TANQUES EPM - GIRARDOTA","2025-09-01","","11.08333333"
"TANQUES EPM - GIRARDOTA","2025-08-31","","16.69565217"
"TANQUES EPM - GIRARDOTA","2025-08-30","","16.47826087"
"TANQUES EPM - GIRARDOTA","2025-08-29","","14.41666667"
"TANQUES EPM - GIRARDOTA","2025-08-28","","12.17391304"
"TANQUES EPM - GIRARDOTA","2025-08-27","","11.95833333"
"TANQUES EPM - GIRARDOTA","2025-08-26","","12.89473684"
"TANQUES EPM - GIRARDOTA","2025-08-25","","9.60416667"
"TANQUES EPM - GIRARDOTA","2025-08-24","","12.16666667"
"TANQUES EPM - GIRARDOTA","2025-08-23","","11.04166667"
"TANQUES EPM - GIRARDOTA","2025-08-22","","9.54166667"
"TANQUES EPM - GIRARDOTA","2025-08-21","","9.29166667"
"TANQUES EPM - GIRARDOTA","2025-08-20","","11.29166667"
"TANQUES EPM - GIRARDOTA","2025-08-19","","8.66666667"
"TANQUES EPM - GIRARDOTA","2025-08-18","","5.86956522"
"TANQUES EPM - GIRARDOTA","2025-08-17","","12.33333333"
"TANQUES EPM - GIRARDOTA","2025-08-16","","11.75"
"TANQUES EPM - GIRARDOTA","2025-08-15","","14.29166667"
"TANQUES EPM - GIRARDOTA","2025-08-14","","17.41666667"
"TANQUES EPM - GIRARDOTA","2025-08-13","","11.08333333"
"TANQUES EPM - GIRARDOTA","2025-08-12","","9.70833333"
"TANQUES EPM - GIRARDOTA","2025-08-11","","9.20833333"
"TANQUES EPM - GIRARDOTA","2025-08-10","","11.79166667"
"TANQUES EPM - GIRARDOTA","2025-08-09","","8.70833333"
"TANQUES EPM - GIRARDOTA","2025-08-08","","12.54166667"
"TANQUES EPM - GIRARDOTA","2025-08-07","","9.5"
"TANQUES EPM - GIRARDOTA","2025-08-06","","12.09090909"
"TANQUES EPM - GIRARDOTA","2025-08-05","","11.41666667"
"TANQUES EPM - GIRARDOTA","2025-08-04","","8.17391304"
"TANQUES EPM - GIRARDOTA","2025-08-03","","6.66666667"
"TANQUES EPM - GIRARDOTA","2025-08-02","","11.375"
"TANQUES EPM - GIRARDOTA","2025-08-01","","8.75"
"TANQUES EPM - GIRARDOTA","2025-07-31","","7.63636364"
"TANQUES EPM - GIRARDOTA","2025-07-30","","7.33333333"
"TANQUES EPM - GIRARDOTA","2025-07-29","","7.5"
"TANQUES EPM - GIRARDOTA","2025-07-28","","7.1875"
"TANQUES EPM - GIRARDOTA","2025-07-27","","6.77083333"
"TANQUES EPM - GIRARDOTA","2025-07-26","","9.20833333"
"TANQUES EPM - GIRARDOTA","2025-07-25","","9.625"
"TANQUES EPM - GIRARDOTA","2025-07-24","","10.60416667"
"TANQUES EPM - GIRARDOTA","2025-07-23","","13.58333333"
"TANQUES EPM - GIRARDOTA","2025-07-22","","15.91666667"
"TANQUES EPM - GIRARDOTA","2025-07-21","","10.04347826"
"TANQUES EPM - GIRARDOTA","2025-07-20","","10.04347826"
"TANQUES EPM - GIRARDOTA","2025-07-19","","14.375"
"TANQUES EPM - GIRARDOTA","2025-07-18","","13.31818182"
"TANQUES EPM - GIRARDOTA","2025-07-17","","12.95652174"
"TANQUES EPM - GIRARDOTA","2025-07-16","","15.20833333"
"TANQUES EPM - GIRARDOTA","2025-07-15","","14.16666667"
"TANQUES EPM - GIRARDOTA","2025-07-14","","9.5"
"TANQUES EPM - GIRARDOTA","2025-07-13","","7.125"
"TANQUES EPM - GIRARDOTA","2025-07-12","","12.70833333"
"TANQUES EPM - GIRARDOTA","2025-07-11","","9.58333333"
"TANQUES EPM - GIRARDOTA","2025-07-10","","10.375"
"TANQUES EPM - GIRARDOTA","2025-07-09","","11.45833333"
"TANQUES EPM - GIRARDOTA","2025-07-08","","13.16666667"
"TANQUES EPM - GIRARDOTA","2025-07-07","","10.90909091"
"TANQUES EPM - GIRARDOTA","2025-07-06","","9.29166667"
"TANQUES EPM - GIRARDOTA","2025-07-05","","8.66666667"
"TANQUES EPM - GIRARDOTA","2025-07-04","","8.59090909"
"TANQUES EPM - GIRARDOTA","2025-07-03","","10.0"
"TANQUES EPM - GIRARDOTA","2025-07-02","","12.125"
"TANQUES EPM - GIRARDOTA","2025-07-01","","8.77083333"
"TANQUES EPM - GIRARDOTA","2025-06-30","","9.02272727"
"TANQUES EPM - GIRARDOTA","2025-06-29","","9.625"
"TANQUES EPM - GIRARDOTA","2025-06-28","","8.95833333"
"TANQUES EPM - GIRARDOTA","2025-06-27","","12.45833333"
"TANQUES EPM - GIRARDOTA","2025-06-26","","8.95833333"
"TANQUES EPM - GIRARDOTA","2025-06-25","","12.41176471"
