"Estacion","Fecha inicial","Fecha final","SO2"
"TANQUES EPM - GIRARDOTA","2025-10-31","","15.71578"
"TANQUES EPM - GIRARDOTA","2025-10-30","","22.21297083"
"TANQUES EPM - GIRARDOTA","2025-10-29","","15.64818375"
"TANQUES EPM - GIRARDOTA","2025-10-28","","9.6718875"
"TANQUES EPM - GIRARDOTA","2025-10-27","","11.65586667"
"TANQUES EPM - GIRARDOTA","2025-10-26","","17.96367042"
"TANQUES EPM - GIRARDOTA","2025-10-25","","11.71384125"
"TANQUES EPM - GIRARDOTA","2025-10-24","","8.58503875"
"TANQUES EPM - GIRARDOTA","2025-10-23","","11.20544625"
"TANQUES EPM - GIRARDOTA","2025-10-22","","17.01197083"
"TANQUES EPM - GIRARDOTA","2025-10-21","","16.37244583"
"TANQUES EPM - GIRARDOTA","2025-10-20","","11.88624625"
"TANQUES EPM - GIRARDOTA","2025-10-19","","17.75260167"
"TANQUES EPM - GIRARDOTA","2025-10-18","","12.69216667"
"TANQUES EPM - GIRARDOTA","2025-10-17","","10.66475833"
"TANQUES EPM - GIRARDOTA","2025-10-16","","10.1441625"
"TANQUES EPM - GIRARDOTA","2025-10-15","","18.50505333"
"TANQUES EPM - GIRARDOTA","2025-10-14","","14.0956675"
"TANQUES EPM - GIRARDOTA","2025-10-13","","22.88623542"
"TANQUES EPM - GIRARDOTA","2025-10-12","","15.18475167"
"TANQUES EPM - GIRARDOTA","2025-10-11","","19.94229"
"TANQUES EPM - GIRARDOTA","2025-10-10","","10.526145"
"TANQUES EPM - GIRARDOTA","2025-10-09","","13.29709625"
"TANQUES EPM - GIRARDOTA","2025-10-08","","16.72226667"
"TANQUES EPM - GIRARDOTA","2025-10-07","","13.8973475"
"TANQUES EPM - GIRARDOTA","2025-10-06","","14.51132875"
"TANQUES EPM - GIRARDOTA","2025-10-05","","10.67566917"
"TANQUES EPM - GIRARDOTA","2025-10-04","","10.55757708"
"TANQUES EPM - GIRARDOTA","2025-10-03","","15.62938667"
"TANQUES EPM - GIRARDOTA","2025-10-02","","14.55966458"
"TANQUES EPM - GIRARDOTA","2025-10-01","","15.85859792"
"TANQUES EPM - GIRARDOTA","2025-09-30","","21.69323"
"TANQUES EPM - GIRARDOTA","2025-09-29","","7.67650333"
"TANQUES EPM - GIRARDOTA","2025-09-28","","10.88150208"
"TANQUES EPM - GIRARDOTA","2025-09-27","","20.03065208"
"TANQUES EPM - GIRARDOTA","2025-09-26","","14.12873667"
"TANQUES EPM - GIRARDOTA","2025-09-25","","8.60492333"
"TANQUES EPM - GIRARDOTA","2025-09-24","","13.50149917"
"TANQUES EPM - GIRARDOTA","2025-09-23","","15.57171125"
"TANQUES EPM - GIRARDOTA","2025-09-22","","14.433685"
"TANQUES EPM - GIRARDOTA","2025-09-21","","17.45512458"
"TANQUES EPM - GIRARDOTA","2025-09-20","","11.12825292"
"TANQUES EPM - GIRARDOTA","2025-09-19","","18.45542208"
"TANQUES EPM - GIRARDOTA","2025-09-18","","16.64812625"
"TANQUES EPM - GIRARDOTA","2025-09-17","","30.78949917"
"TANQUES EPM - GIRARDOTA","2025-09-16","","26.74254792"
"TANQUES EPM - GIRARDOTA","2025-09-15","","22.073085"
"TANQUES EPM - GIRARDOTA","2025-09-14","","23.239255"
"TANQUES EPM - GIRARDOTA","2025-09-13","","22.535505"
"TANQUES EPM - GIRARDOTA","2025-09-12","","21.05601625"
"TANQUES EPM - GIRARDOTA","2025-09-11","","19.9440025"
"TANQUES EPM - GIRARDOTA","2025-09-10","","23.84411167"
"TANQUES EPM - GIRARDOTA","2025-09-09","","11.37988542"
"TANQUES EPM - GIRARDOTA","2025-09-08","","16.78684792"
"TANQUES EPM - GIRARDOTA","2025-09-07","","12.6052425"
"TANQUES EPM - GIRARDOTA","2025-09-06","","17.30045542"
"TANQUES EPM - GIRARDOTA","2025-09-05","","13.11802792"
"TANQUES EPM - GIRARDOTA","2025-09-04","","12.15773208"
"TANQUES EPM - GIRARDOTA","2025-09-03","","13.53873083"
"TANQUES EPM - GIRARDOTA","2025-09-02","","10.27436125"
"TANQUES EPM - GIRARDOTA","2025-09-01","","14.69766083"
"TANQUES EPM - GIRARDOTA","2025-08-31","","21.79271101"
"TANQUES EPM - GIRARDOTA","2025-08-30","","20.28686916"
"TANQUES EPM - GIRARDOTA","2025-08-29","","17.92940126"
"TANQUES EPM - GIRARDOTA","2025-08-28","","8.74727323"
"TANQUES EPM - GIRARDOTA","2025-08-27","","18.69843108"
"TANQUES EPM - GIRARDOTA","2025-08-26","","16.53572022"
"TANQUES EPM - GIRARDOTA","2025-08-25","","27.4279916"
"TANQUES EPM - GIRARDOTA","2025-08-24","","17.9878956"
"TANQUES EPM - GIRARDOTA","2025-08-23","","12.02290284"
"TANQUES EPM - GIRARDOTA","2025-08-22","","14.67143347"
"TANQUES EPM - GIRARDOTA","2025-08-21","","11.48916741"
"TANQUES EPM - GIRARDOTA","2025-08-20","","22.61140157"
"TANQUES EPM - GIRARDOTA","2025-08-19","","15.17833075"
"TANQUES EPM - GIRARDOTA","2025-08-18","","11.51756582"
"TANQUES EPM - GIRARDOTA","2025-08-17","","22.81049973"
"TANQUES EPM - GIRARDOTA","2025-08-16","","15.47751416"
"TANQUES EPM - GIRARDOTA","2025-08-15","","17.28951417"
"TANQUES EPM - GIRARDOTA","2025-08-14","","30.60593464"
"TANQUES EPM - GIRARDOTA","2025-08-13","","19.09787365"
"TANQUES EPM - GIRARDOTA","2025-08-12","","24.33490739"
"TANQUES EPM - GIRARDOTA","2025-08-11","","10.44805136"
"TANQUES EPM - GIRARDOTA","2025-08-10","","10.12286646"
"TANQUES EPM - GIRARDOTA","2025-08-09","","8.15160607"
"TANQUES EPM - GIRARDOTA","2025-08-08","","10.37208056"
"TANQUES EPM - GIRARDOTA","2025-08-07","","9.6456542"
"TANQUES EPM - GIRARDOTA","2025-08-06","","14.99942041"
"TANQUES EPM - GIRARDOTA","2025-08-05","","24.20142752"
"TANQUES EPM - GIRARDOTA","2025-08-04","","21.30966117"
"TANQUES EPM - GIRARDOTA","2025-08-03","","13.54112215"
"TANQUES EPM - GIRARDOTA","2025-08-02","","15.7722457"
"TANQUES EPM - GIRARDOTA","2025-08-01","","12.40180493"
"TANQUES EPM - GIRARDOTA","2025-07-31","","16.82317789"
"TANQUES EPM - GIRARDOTA","2025-07-30","","9.31385989"
"TANQUES EPM - GIRARDOTA","2025-07-29","","16.82684601"
"TANQUES EPM - GIRARDOTA","2025-07-28","","12.90382515"
"TANQUES EPM - GIRARDOTA","2025-07-27","","6.28893349"
"TANQUES EPM - GIRARDOTA","2025-07-26","","9.95964952"
"TANQUES EPM - GIRARDOTA","2025-07-25","","19.08252635"
"TANQUES EPM - GIRARDOTA","2025-07-24","","10.80152281"
"TANQUES EPM - GIRARDOTA","2025-07-23","","16.79768887"
"TANQUES EPM - GIRARDOTA","2025-07-22","","21.35775284"
"TANQUES EPM - GIRARDOTA","2025-07-21","","14.77839304"
"TANQUES EPM - GIRARDOTA","2025-07-20","","17.76729585"
"TANQUES EPM - GIRARDOTA","2025-07-19","","16.14491614"
"TANQUES EPM - GIRARDOTA","2025-07-18","","13.58213839"
"TANQUES EPM - GIRARDOTA","2025-07-17","","6.32080245"
"TANQUES EPM - GIRARDOTA","2025-07-16","","10.80157848"
"TANQUES EPM - GIRARDOTA","2025-07-15","","7.16953077"
"TANQUES EPM - GIRARDOTA","2025-07-14","","6.89246413"
"TANQUES EPM - GIRARDOTA","2025-07-13","","12.53437943"
"TANQUES EPM - GIRARDOTA","2025-07-12","","17.04453389"
"TANQUES EPM - GIRARDOTA","2025-07-11","","20.92861433"
"TANQUES EPM - GIRARDOTA","2025-07-10","","19.92477034"
"TANQUES EPM - GIRARDOTA","2025-07-09","","22.76690514"
"TANQUES EPM - GIRARDOTA","2025-07-08","","18.92906203"
"TANQUES EPM - GIRARDOTA","2025-07-07","","19.20125924"
"TANQUES EPM - GIRARDOTA","2025-07-06","","19.38447535"
"TANQUES EPM - GIRARDOTA","2025-07-05","","21.21696592"
"TANQUES EPM - GIRARDOTA","2025-07-04","","22.677335"
"TANQUES EPM - GIRARDOTA","2025-07-03","","22.2297582"
"TANQUES EPM - GIRARDOTA","2025-07-02","","18.11675699"
"TANQUES EPM - GIRARDOTA","2025-07-01","","22.41002847"
"TANQUES EPM - GIRARDOTA","2025-06-30","","17.29609151"
"TANQUES EPM - GIRARDOTA","2025-06-29","","12.21503405"
"TANQUES EPM - GIRARDOTA","2025-06-28","","16.8311458"
"TANQUES EPM - GIRARDOTA","2025-06-27","","11.63527221"
"TANQUES EPM - GIRARDOTA","2025-06-26","","15.045129"
"TANQUES EPM - GIRARDOTA","2025-06-25","","17.25422678"
"TANQUES EPM - GIRARDOTA","2025-06-24","","10.534901"
"TANQUES EPM - GIRARDOTA","2025-06-23","","14.02179382"
"TANQUES EPM - GIRARDOTA","2025-06-22","","9.88505491"
"TANQUES EPM - GIRARDOTA","2025-06-21","","23.49328568"
"TANQUES EPM - GIRARDOTA","2025-06-20","","18.22101075"
"TANQUES EPM - GIRARDOTA","2025-06-19","","10.73578784"
"TANQUES EPM - GIRARDOTA","2025-06-18","","15.32632019"
"TANQUES EPM - GIRARDOTA","2025-06-17","","15.06335133"
"TANQUES EPM - GIRARDOTA","2025-06-16","","25.8751384"
"TANQUES EPM - GIRARDOTA","2025-06-15","","14.34300879"
"TANQUES EPM - GIRARDOTA","2025-06-14","","20.14454359"
"TANQUES EPM - GIRARDOTA","2025-06-13","","7.52717535"
"TANQUES EPM - GIRARDOTA","2025-06-12","","16.86386667"
