"Estacion","Fecha inicial","Fecha final","VViento"
"TANQUES EPM - GIRARDOTA","2025-10-31","","1.22834783"
"TANQUES EPM - GIRARDOTA","2025-10-30","","1.10304167"
"TANQUES EPM - GIRARDOTA","2025-10-29","","1.25920833"
"TANQUES EPM - GIRARDOTA","2025-10-28","","1.16545833"
"TANQUES EPM - GIRARDOTA","2025-10-27","","0.7735"
"TANQUES EPM - GIRARDOTA","2025-10-26","","0.56379167"
"TANQUES EPM - GIRARDOTA","2025-10-25","","0.85766667"
"TANQUES EPM - GIRARDOTA","2025-10-24","","0.6985"
"TANQUES EPM - GIRARDOTA","2025-10-23","","0.737625"
"TANQUES EPM - GIRARDOTA","2025-10-22","","0.67133333"
"TANQUES EPM - GIRARDOTA","2025-10-21","","0.80766667"
"TANQUES EPM - GIRARDOTA","2025-10-20","","1.10308333"
"TANQUES EPM - GIRARDOTA","2025-10-19","","1.055625"
"TANQUES EPM - GIRARDOTA","2025-10-18","","1.31166667"
"TANQUES EPM - GIRARDOTA","2025-10-17","","0.7525"
"TANQUES EPM - GIRARDOTA","2025-10-16","","1.12420833"
"TANQUES EPM - GIRARDOTA","2025-10-15","","0.250875"
"TANQUES EPM - GIRARDOTA","2025-10-14","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-13","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-12","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-11","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-10","","0.27425"
"TANQUES EPM - GIRARDOTA","2025-10-09","","1.21004167"
"TANQUES EPM - GIRARDOTA","2025-10-08","","0.67808333"
"TANQUES EPM - GIRARDOTA","2025-10-07","","1.31795833"
"TANQUES EPM - GIRARDOTA","2025-10-06","","1.0705"
"TANQUES EPM - GIRARDOTA","2025-10-05","","1.53841667"
"TANQUES EPM - GIRARDOTA","2025-10-04","","1.4215"
"TANQUES EPM - GIRARDOTA","2025-10-03","","1.49079167"
"TANQUES EPM - GIRARDOTA","2025-10-02","","1.09266667"
"TANQUES EPM - GIRARDOTA","2025-10-01","","1.03258333"
"TANQUES EPM - GIRARDOTA","2025-09-30","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-29","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-28","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-27","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-26","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-25","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-24","","0.19533333"
"TANQUES EPM - GIRARDOTA","2025-09-23","","1.49791667"
"TANQUES EPM - GIRARDOTA","2025-09-22","","1.58245833"
"TANQUES EPM - GIRARDOTA","2025-09-21","","1.44820833"
"TANQUES EPM - GIRARDOTA","2025-09-20","","0.83633333"
"TANQUES EPM - GIRARDOTA","2025-09-19","","0.77183333"
"TANQUES EPM - GIRARDOTA","2025-09-18","","0.52054167"
"TANQUES EPM - GIRARDOTA","2025-09-17","","1.005"
"TANQUES EPM - GIRARDOTA","2025-09-16","","1.05116667"
"TANQUES EPM - GIRARDOTA","2025-09-15","","0.970625"
"TANQUES EPM - GIRARDOTA","2025-09-14","","1.17916667"
"TANQUES EPM - GIRARDOTA","2025-09-13","","1.26104167"
