"Estacion","Fecha inicial","Fecha final","PST"
"UDEA (S)","2008-04-03","","138.46107281"
"UDEA (S)","2008-03-31","","104.93876521"
"UDEA (S)","2008-03-28","","167.38203801"
"UDEA (S)","2007-12-29","","63.89574432"
"UDEA (S)","2007-12-26","","79.00978639"
"UDEA (S)","2007-12-23","","47.38765573"
"UDEA (S)","2007-12-20","","137.38065342"
"UDEA (S)","2007-12-17","","138.19490235"
"UDEA (S)","2007-12-14","","118.49335929"
"UDEA (S)","2007-12-11","","119.32536631"
"UDEA (S)","2007-12-08","","78.88343257"
"UDEA (S)","2007-12-05","","124.77585756"
"UDEA (S)","2007-12-02","","55.15265714"
"UDEA (S)","2007-11-29","","117.33942507"
"UDEA (S)","2007-11-26","","94.26043103"
"UDEA (S)","2007-11-23","","143.32623545"
"UDEA (S)","2007-11-20","","180.91833044"
"UDEA (S)","2007-11-17","","115.6137173"
"UDEA (S)","2007-11-14","","144.98910271"
"UDEA (S)","2007-11-11","","35.2116028"
"UDEA (S)","2007-11-08","","141.88526845"
"UDEA (S)","2007-11-05","","81.04597325"
"UDEA (S)","2007-11-02","","126.01545786"
"UDEA (S)","2007-10-30","","136.67515528"
"UDEA (S)","2007-10-27","","134.31358181"
"UDEA (S)","2007-10-24","","147.32607696"
"UDEA (S)","2007-10-21","","96.63842108"
"UDEA (S)","2007-10-18","","94.55628011"
"UDEA (S)","2007-10-15","","120.63572042"
"UDEA (S)","2007-10-12","","131.07424971"
"UDEA (S)","2007-10-09","","139.43638064"
"UDEA (S)","2007-10-06","","123.02320306"
"UDEA (S)","2007-10-03","","113.51773877"
"UDEA (S)","2007-09-30","","157.01595969"
"UDEA (S)","2007-09-27","","200.15354896"
"UDEA (S)","2007-09-24","","99.40007301"
"UDEA (S)","2007-09-21","","117.56883133"
"UDEA (S)","2007-09-18","","95.10056602"
"UDEA (S)","2007-09-15","","124.13647956"
"UDEA (S)","2007-09-12","","158.89964324"
"UDEA (S)","2007-09-09","","89.2420008"
"UDEA (S)","2007-09-06","","158.07904777"
"UDEA (S)","2007-09-03","","171.49103877"
"UDEA (S)","2007-08-31","","201.55395197"
"UDEA (S)","2007-08-28","","104.11366338"
"UDEA (S)","2007-08-25","","114.85322115"
"UDEA (S)","2007-08-22","","154.36008617"
"UDEA (S)","2007-08-19","","66.48899112"
"UDEA (S)","2007-08-16","","118.26594147"
"UDEA (S)","2007-08-13","","119.85233316"
"UDEA (S)","2007-08-10","","161.52887048"
"UDEA (S)","2007-08-07","","93.17253405"
"UDEA (S)","2007-08-04","","211.88404917"
"UDEA (S)","2007-08-01","","213.77161185"
"UDEA (S)","2007-07-29","","148.70073846"
"UDEA (S)","2007-07-26","","166.74575937"
"UDEA (S)","2007-07-23","","122.18156725"
"UDEA (S)","2007-07-20","","148.93624582"
"UDEA (S)","2007-07-17","","142.32539479"
"UDEA (S)","2007-07-14","","169.74253701"
"UDEA (S)","2007-07-11","","137.05066608"
"UDEA (S)","2007-07-08","","81.67017266"
"UDEA (S)","2007-07-05","","210.147233"
"UDEA (S)","2007-07-02","","108.66217099"
"UDEA (S)","2007-06-29","","161.5957767"
