"Estacion","Fecha inicial","Fecha final","DViento"
"UNIVERSIDAD CES","2025-10-31","","173.57170833"
"UNIVERSIDAD CES","2025-10-30","","167.63870833"
"UNIVERSIDAD CES","2025-10-29","","186.27970833"
"UNIVERSIDAD CES","2025-10-28","","173.58470833"
"UNIVERSIDAD CES","2025-10-27","","181.64233333"
"UNIVERSIDAD CES","2025-10-26","","181.013125"
"UNIVERSIDAD CES","2025-10-25","","181.3615"
"UNIVERSIDAD CES","2025-10-24","","170.38158333"
"UNIVERSIDAD CES","2025-10-23","","197.19733333"
"UNIVERSIDAD CES","2025-10-22","","160.65583333"
"UNIVERSIDAD CES","2025-10-21","","152.82691667"
"UNIVERSIDAD CES","2025-10-20","","180.79020833"
"UNIVERSIDAD CES","2025-10-19","","148.354125"
"UNIVERSIDAD CES","2025-10-18","","227.04645833"
"UNIVERSIDAD CES","2025-10-17","","159.78225"
"UNIVERSIDAD CES","2025-10-16","","199.38816667"
"UNIVERSIDAD CES","2025-10-15","","164.89795833"
"UNIVERSIDAD CES","2025-10-14","","44.188375"
"UNIVERSIDAD CES","2025-10-13","","0.0"
"UNIVERSIDAD CES","2025-10-12","","0.0"
"UNIVERSIDAD CES","2025-10-11","","169.56904167"
"UNIVERSIDAD CES","2025-10-10","","212.027375"
"UNIVERSIDAD CES","2025-10-09","","211.047125"
"UNIVERSIDAD CES","2025-10-08","","172.43608333"
"UNIVERSIDAD CES","2025-10-07","","192.014875"
"UNIVERSIDAD CES","2025-10-06","","197.965625"
"UNIVERSIDAD CES","2025-10-05","","208.31566667"
"UNIVERSIDAD CES","2025-10-04","","144.00166667"
"UNIVERSIDAD CES","2025-10-03","","184.51520833"
"UNIVERSIDAD CES","2025-10-02","","197.36070833"
"UNIVERSIDAD CES","2025-10-01","","156.574"
"UNIVERSIDAD CES","2025-09-30","","0.0"
"UNIVERSIDAD CES","2025-09-29","","0.0"
"UNIVERSIDAD CES","2025-09-28","","0.0"
"UNIVERSIDAD CES","2025-09-27","","0.0"
