"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD CES","2025-10-31","","28.50539667"
"UNIVERSIDAD CES","2025-10-30","","27.78601625"
"UNIVERSIDAD CES","2025-10-29","","36.11610042"
"UNIVERSIDAD CES","2025-10-28","","17.62478792"
"UNIVERSIDAD CES","2025-10-27","","9.46637417"
"UNIVERSIDAD CES","2025-10-26","","21.90018833"
"UNIVERSIDAD CES","2025-10-25","","24.56516"
"UNIVERSIDAD CES","2025-10-24","","19.25156458"
"UNIVERSIDAD CES","2025-10-23","","20.37150708"
"UNIVERSIDAD CES","2025-10-22","","25.05564625"
"UNIVERSIDAD CES","2025-10-21","","26.51075458"
"UNIVERSIDAD CES","2025-10-20","","47.14385333"
"UNIVERSIDAD CES","2025-10-19","","28.87326"
"UNIVERSIDAD CES","2025-10-18","","35.05338042"
"UNIVERSIDAD CES","2025-10-17","","21.78574083"
"UNIVERSIDAD CES","2025-10-16","","31.9060975"
"UNIVERSIDAD CES","2025-10-15","","25.6851025"
"UNIVERSIDAD CES","2025-10-14","","25.71780208"
"UNIVERSIDAD CES","2025-10-13","","22.05550792"
"UNIVERSIDAD CES","2025-10-12","","28.7996875"
"UNIVERSIDAD CES","2025-10-11","","42.27987"
"UNIVERSIDAD CES","2025-10-10","","19.96276958"
"UNIVERSIDAD CES","2025-10-09","","42.39431667"
"UNIVERSIDAD CES","2025-10-08","","13.62732917"
"UNIVERSIDAD CES","2025-10-07","","33.51652667"
"UNIVERSIDAD CES","2025-10-06","","30.21392208"
"UNIVERSIDAD CES","2025-10-05","","47.05393125"
"UNIVERSIDAD CES","2025-10-04","","24.05015042"
"UNIVERSIDAD CES","2025-10-03","","34.34217583"
"UNIVERSIDAD CES","2025-10-02","","33.04239"
"UNIVERSIDAD CES","2025-10-01","","23.10187833"
"UNIVERSIDAD CES","2025-09-30","","18.96544917"
"UNIVERSIDAD CES","2025-09-29","","38.92004375"
"UNIVERSIDAD CES","2025-09-28","","43.75950208"
"UNIVERSIDAD CES","2025-09-27","","21.9165375"
"UNIVERSIDAD CES","2025-09-26","","33.8271675"
"UNIVERSIDAD CES","2025-09-25","","36.92540083"
"UNIVERSIDAD CES","2025-09-24","","22.17813"
"UNIVERSIDAD CES","2025-09-23","","47.27465"
"UNIVERSIDAD CES","2025-09-22","","34.35035167"
"UNIVERSIDAD CES","2025-09-21","","37.84097458"
"UNIVERSIDAD CES","2025-09-20","","36.94992625"
"UNIVERSIDAD CES","2025-09-19","","36.71285792"
"UNIVERSIDAD CES","2025-09-18","","21.30343083"
"UNIVERSIDAD CES","2025-09-17","","31.47283542"
"UNIVERSIDAD CES","2025-09-16","","34.06423417"
"UNIVERSIDAD CES","2025-09-15","","41.27437542"
"UNIVERSIDAD CES","2025-09-14","","42.17359875"
"UNIVERSIDAD CES","2025-09-13","","45.01841625"
"UNIVERSIDAD CES","2025-09-12","","41.94470458"
"UNIVERSIDAD CES","2025-09-11","","30.38559125"
"UNIVERSIDAD CES","2025-09-10","","35.96895417"
"UNIVERSIDAD CES","2025-09-09","","36.57388542"
"UNIVERSIDAD CES","2025-09-08","","30.26297042"
