"Estacion","Fecha inicial","Fecha final","PLiquida"
"UNIVERSIDAD CES","2025-10-31","","0.05583333"
"UNIVERSIDAD CES","2025-10-30","","0.01375"
"UNIVERSIDAD CES","2025-10-29","","0.00166667"
"UNIVERSIDAD CES","2025-10-28","","0.06458333"
"UNIVERSIDAD CES","2025-10-27","","0.29041667"
"UNIVERSIDAD CES","2025-10-26","","0.0875"
"UNIVERSIDAD CES","2025-10-25","","0.20166667"
"UNIVERSIDAD CES","2025-10-24","","0.18416667"
"UNIVERSIDAD CES","2025-10-23","","0.02791667"
"UNIVERSIDAD CES","2025-10-22","","0.16458333"
"UNIVERSIDAD CES","2025-10-21","","0.035"
"UNIVERSIDAD CES","2025-10-20","","0.44125"
"UNIVERSIDAD CES","2025-10-19","","0.01"
"UNIVERSIDAD CES","2025-10-18","","0.00833333"
"UNIVERSIDAD CES","2025-10-17","","0.02666667"
"UNIVERSIDAD CES","2025-10-16","","0.01583333"
"UNIVERSIDAD CES","2025-10-15","","0.22041667"
"UNIVERSIDAD CES","2025-10-14","","0.0"
"UNIVERSIDAD CES","2025-10-13","","0.0"
"UNIVERSIDAD CES","2025-10-12","","0.0"
"UNIVERSIDAD CES","2025-10-11","","0.22833333"
"UNIVERSIDAD CES","2025-10-10","","0.19583333"
"UNIVERSIDAD CES","2025-10-09","","0.08166667"
"UNIVERSIDAD CES","2025-10-08","","0.05708333"
"UNIVERSIDAD CES","2025-10-07","","0.04791667"
"UNIVERSIDAD CES","2025-10-06","","0.065"
"UNIVERSIDAD CES","2025-10-05","","0.09625"
"UNIVERSIDAD CES","2025-10-04","","0.12541667"
"UNIVERSIDAD CES","2025-10-03","","0.03958333"
"UNIVERSIDAD CES","2025-10-02","","0.01333333"
"UNIVERSIDAD CES","2025-10-01","","0.17708333"
"UNIVERSIDAD CES","2025-09-30","","0.0"
"UNIVERSIDAD CES","2025-09-29","","0.0"
"UNIVERSIDAD CES","2025-09-28","","0.0"
"UNIVERSIDAD CES","2025-09-27","","0.0"
"UNIVERSIDAD CES","2025-09-26","","0.0"
"UNIVERSIDAD CES","2025-09-25","","0.0"
"UNIVERSIDAD CES","2025-09-24","","0.0"
"UNIVERSIDAD CES","2025-09-23","","0.015"
"UNIVERSIDAD CES","2025-09-22","","0.00125"
"UNIVERSIDAD CES","2025-09-21","","0.02541667"
"UNIVERSIDAD CES","2025-09-20","","0.02416667"
