"Estacion","Fecha inicial","Fecha final","PM2.5"
"UNIVERSIDAD CES","2025-10-31","","7.51384167"
"UNIVERSIDAD CES","2025-10-30","","2.60953167"
"UNIVERSIDAD CES","2025-10-29","","8.61516833"
"UNIVERSIDAD CES","2025-10-28","","9.38028625"
"UNIVERSIDAD CES","2025-10-27","","3.61711375"
"UNIVERSIDAD CES","2025-10-26","","7.67472167"
"UNIVERSIDAD CES","2025-10-25","","6.70376375"
"UNIVERSIDAD CES","2025-10-24","","8.76092667"
"UNIVERSIDAD CES","2025-10-23","","11.36322042"
"UNIVERSIDAD CES","2025-10-22","","9.1642525"
"UNIVERSIDAD CES","2025-10-21","","10.37328292"
"UNIVERSIDAD CES","2025-10-20","","12.07744542"
"UNIVERSIDAD CES","2025-10-19","","7.94826375"
"UNIVERSIDAD CES","2025-10-18","","10.6508125"
"UNIVERSIDAD CES","2025-10-17","","11.52122083"
"UNIVERSIDAD CES","2025-10-16","","10.44960417"
"UNIVERSIDAD CES","2025-10-15","","11.24478292"
"UNIVERSIDAD CES","2025-10-14","","9.60092292"
"UNIVERSIDAD CES","2025-10-13","","7.71366792"
"UNIVERSIDAD CES","2025-10-12","","5.88798417"
"UNIVERSIDAD CES","2025-10-11","","10.74338"
"UNIVERSIDAD CES","2025-10-10","","6.98260125"
"UNIVERSIDAD CES","2025-10-09","","12.82328667"
"UNIVERSIDAD CES","2025-10-08","","8.58968667"
"UNIVERSIDAD CES","2025-10-07","","8.71830792"
"UNIVERSIDAD CES","2025-10-06","","10.01612333"
"UNIVERSIDAD CES","2025-10-05","","6.47947167"
"UNIVERSIDAD CES","2025-10-04","","9.05821458"
"UNIVERSIDAD CES","2025-10-03","","11.04924292"
"UNIVERSIDAD CES","2025-10-02","","10.41947792"
"UNIVERSIDAD CES","2025-10-01","","13.2"
"UNIVERSIDAD CES","2025-09-30","","8.27323333"
"UNIVERSIDAD CES","2025-09-29","","9.68255375"
"UNIVERSIDAD CES","2025-09-28","","9.28091458"
"UNIVERSIDAD CES","2025-09-27","","16.91793625"
"UNIVERSIDAD CES","2025-09-26","","17.44901667"
"UNIVERSIDAD CES","2025-09-25","","8.50213417"
"UNIVERSIDAD CES","2025-09-24","","13.38111083"
"UNIVERSIDAD CES","2025-09-23","","9.5338475"
"UNIVERSIDAD CES","2025-09-22","","8.91354"
"UNIVERSIDAD CES","2025-09-21","","8.56387708"
"UNIVERSIDAD CES","2025-09-20","","9.64843083"
"UNIVERSIDAD CES","2025-09-19","","11.52110458"
"UNIVERSIDAD CES","2025-09-18","","10.35760375"
"UNIVERSIDAD CES","2025-09-17","","15.87120333"
"UNIVERSIDAD CES","2025-09-16","","9.37954792"
"UNIVERSIDAD CES","2025-09-15","","6.50607292"
"UNIVERSIDAD CES","2025-09-14","","8.77146708"
"UNIVERSIDAD CES","2025-09-13","","10.374945"
"UNIVERSIDAD CES","2025-09-12","","11.94596083"
"UNIVERSIDAD CES","2025-09-11","","13.40160417"
"UNIVERSIDAD CES","2025-09-10","","8.70823083"
"UNIVERSIDAD CES","2025-09-09","","7.35915208"
"UNIVERSIDAD CES","2025-09-08","","7.54613542"
"UNIVERSIDAD CES","2025-09-07","","4.43099833"
"UNIVERSIDAD CES","2025-09-06","","6.3909475"
"UNIVERSIDAD CES","2025-09-05","","11.84974833"
"UNIVERSIDAD CES","2025-09-04","","9.82248375"
"UNIVERSIDAD CES","2025-09-03","","8.13031958"
"UNIVERSIDAD CES","2025-09-02","","7.75563708"
"UNIVERSIDAD CES","2025-09-01","","2.00416667"
"UNIVERSIDAD CES","2025-08-30","","13.65945"
"UNIVERSIDAD CES","2025-08-29","","8.65339389"
"UNIVERSIDAD CES","2025-08-28","","6.5958153"
"UNIVERSIDAD CES","2025-08-27","","8.77326818"
"UNIVERSIDAD CES","2025-08-26","","7.61031292"
"UNIVERSIDAD CES","2025-08-25","","8.58742345"
"UNIVERSIDAD CES","2025-08-24","","6.26340083"
"UNIVERSIDAD CES","2025-08-23","","9.95928136"
"UNIVERSIDAD CES","2025-08-22","","10.60090854"
"UNIVERSIDAD CES","2025-08-21","","7.0623"
"UNIVERSIDAD CES","2025-08-20","","7.23702841"
"UNIVERSIDAD CES","2025-08-19","","7.97095217"
"UNIVERSIDAD CES","2025-08-18","","6.71333458"
"UNIVERSIDAD CES","2025-08-17","","10.6961625"
"UNIVERSIDAD CES","2025-08-16","","8.47856652"
"UNIVERSIDAD CES","2025-08-15","","10.0395219"
"UNIVERSIDAD CES","2025-08-14","","12.14168208"
"UNIVERSIDAD CES","2025-08-13","","11.69092917"
"UNIVERSIDAD CES","2025-08-12","","8.14759333"
"UNIVERSIDAD CES","2025-08-11","","5.46445917"
"UNIVERSIDAD CES","2025-08-10","","9.29389083"
"UNIVERSIDAD CES","2025-08-09","","6.22918708"
"UNIVERSIDAD CES","2025-08-08","","11.36815917"
"UNIVERSIDAD CES","2025-08-07","","7.7865954"
"UNIVERSIDAD CES","2025-08-06","","6.97361615"
"UNIVERSIDAD CES","2025-08-05","","8.54704947"
"UNIVERSIDAD CES","2025-08-04","","7.11240333"
"UNIVERSIDAD CES","2025-08-03","","5.3865073"
"UNIVERSIDAD CES","2025-08-02","","9.63850417"
"UNIVERSIDAD CES","2025-08-01","","7.50416667"
"UNIVERSIDAD CES","2025-07-31","","9.17273458"
"UNIVERSIDAD CES","2025-07-30","","6.641044"
"UNIVERSIDAD CES","2025-07-29","","6.853606"
"UNIVERSIDAD CES","2025-07-28","","6.55399111"
"UNIVERSIDAD CES","2025-07-27","","5.51349513"
"UNIVERSIDAD CES","2025-07-26","","10.63468"
"UNIVERSIDAD CES","2025-07-25","","11.15740833"
"UNIVERSIDAD CES","2025-07-24","","7.83898218"
"UNIVERSIDAD CES","2025-07-23","","11.14091412"
"UNIVERSIDAD CES","2025-07-22","","11.22348229"
"UNIVERSIDAD CES","2025-07-21","","10.96606493"
"UNIVERSIDAD CES","2025-07-20","","6.41162225"
"UNIVERSIDAD CES","2025-07-19","","6.57396"
"UNIVERSIDAD CES","2025-07-18","","7.47064208"
"UNIVERSIDAD CES","2025-07-17","","9.77543045"
"UNIVERSIDAD CES","2025-07-16","","8.68851542"
"UNIVERSIDAD CES","2025-07-15","","7.94597432"
"UNIVERSIDAD CES","2025-07-14","","7.2061775"
"UNIVERSIDAD CES","2025-07-13","","6.01818963"
"UNIVERSIDAD CES","2025-07-12","","7.84974227"
"UNIVERSIDAD CES","2025-07-11","","10.0768175"
"UNIVERSIDAD CES","2025-07-10","","9.57351409"
"UNIVERSIDAD CES","2025-07-09","","9.9021313"
"UNIVERSIDAD CES","2025-07-08","","9.27575538"
"UNIVERSIDAD CES","2025-07-07","","8.2669725"
"UNIVERSIDAD CES","2025-07-06","","5.15511058"
"UNIVERSIDAD CES","2025-07-05","","8.8891325"
"UNIVERSIDAD CES","2025-07-04","","9.97579829"
"UNIVERSIDAD CES","2025-07-03","","6.29471435"
"UNIVERSIDAD CES","2025-07-02","","8.23647476"
"UNIVERSIDAD CES","2025-07-01","","5.38888889"
"UNIVERSIDAD CES","2025-06-30","","5.53151174"
"UNIVERSIDAD CES","2025-06-29","","7.05609618"
"UNIVERSIDAD CES","2025-06-28","","8.81160458"
"UNIVERSIDAD CES","2025-06-27","","9.8645885"
"UNIVERSIDAD CES","2025-06-26","","9.33688238"
"UNIVERSIDAD CES","2025-06-25","","10.654313"
"UNIVERSIDAD CES","2025-06-24","","8.96373071"
"UNIVERSIDAD CES","2025-06-23","","3.89628448"
"UNIVERSIDAD CES","2025-06-22","","7.20629042"
"UNIVERSIDAD CES","2025-06-21","","9.6240755"
"UNIVERSIDAD CES","2025-06-20","","6.17736095"
"UNIVERSIDAD CES","2025-06-19","","5.56231342"
"UNIVERSIDAD CES","2025-06-18","","3.89238344"
"UNIVERSIDAD CES","2025-06-17","","5.96007488"
"UNIVERSIDAD CES","2025-06-16","","5.834337"
"UNIVERSIDAD CES","2025-06-12","","10.46401125"
"UNIVERSIDAD CES","2025-06-11","","10.89733941"
"UNIVERSIDAD CES","2025-06-10","","9.69834045"
"UNIVERSIDAD CES","2025-06-09","","8.96839917"
"UNIVERSIDAD CES","2025-06-08","","5.95737318"
"UNIVERSIDAD CES","2025-06-07","","4.76869095"
"UNIVERSIDAD CES","2025-06-06","","8.03013042"
"UNIVERSIDAD CES","2025-06-05","","12.54251958"
"UNIVERSIDAD CES","2025-06-04","","9.85636682"
"UNIVERSIDAD CES","2025-06-03","","7.59254708"
"UNIVERSIDAD CES","2025-06-02","","5.77369087"
"UNIVERSIDAD CES","2025-06-01","","8.95238095"
"UNIVERSIDAD CES","2025-05-31","","8.01663643"
"UNIVERSIDAD CES","2025-05-30","","9.62839167"
"UNIVERSIDAD CES","2025-05-29","","9.40654083"
"UNIVERSIDAD CES","2025-05-28","","7.46364142"
"UNIVERSIDAD CES","2025-05-27","","9.43856583"
"UNIVERSIDAD CES","2025-05-26","","8.93408292"
"UNIVERSIDAD CES","2025-05-25","","7.19182875"
"UNIVERSIDAD CES","2025-05-24","","7.4094915"
"UNIVERSIDAD CES","2025-05-23","","12.17259833"
"UNIVERSIDAD CES","2025-05-22","","8.43796542"
"UNIVERSIDAD CES","2025-05-21","","9.36790417"
"UNIVERSIDAD CES","2025-05-20","","13.61181404"
"UNIVERSIDAD CES","2025-05-19","","10.92552379"
"UNIVERSIDAD CES","2025-05-18","","5.31602096"
"UNIVERSIDAD CES","2025-05-17","","7.71696292"
"UNIVERSIDAD CES","2025-05-16","","11.513934"
"UNIVERSIDAD CES","2025-05-15","","9.94063444"
"UNIVERSIDAD CES","2025-05-14","","15.1988"
"UNIVERSIDAD CES","2025-05-13","","16.5543975"
"UNIVERSIDAD CES","2025-05-12","","7.08249922"
"UNIVERSIDAD CES","2025-05-11","","5.58721979"
"UNIVERSIDAD CES","2025-05-10","","5.98524258"
"UNIVERSIDAD CES","2025-05-09","","10.86992864"
"UNIVERSIDAD CES","2025-05-08","","13.82215333"
"UNIVERSIDAD CES","2025-05-07","","12.32283667"
"UNIVERSIDAD CES","2025-05-06","","11.53661855"
"UNIVERSIDAD CES","2025-05-05","","8.47999568"
"UNIVERSIDAD CES","2025-05-04","","11.20942083"
"UNIVERSIDAD CES","2025-05-03","","9.3008875"
"UNIVERSIDAD CES","2025-05-02","","11.11463042"
"UNIVERSIDAD CES","2025-05-01","","11.17083333"
"UNIVERSIDAD CES","2025-04-30","","9.25436679"
"UNIVERSIDAD CES","2025-04-29","","10.93733422"
"UNIVERSIDAD CES","2025-04-28","","10.07178033"
"UNIVERSIDAD CES","2025-04-27","","8.58464708"
"UNIVERSIDAD CES","2025-04-26","","8.95472292"
"UNIVERSIDAD CES","2025-04-25","","8.98931935"
"UNIVERSIDAD CES","2025-04-24","","7.18738413"
"UNIVERSIDAD CES","2025-04-23","","10.86892955"
"UNIVERSIDAD CES","2025-04-22","","11.96185292"
"UNIVERSIDAD CES","2025-04-21","","12.75367583"
"UNIVERSIDAD CES","2025-04-20","","5.20064286"
"UNIVERSIDAD CES","2025-04-19","","5.78039375"
"UNIVERSIDAD CES","2025-04-18","","9.87858333"
"UNIVERSIDAD CES","2025-04-17","","14.01073583"
"UNIVERSIDAD CES","2025-04-16","","16.27890375"
"UNIVERSIDAD CES","2025-04-15","","12.06537333"
"UNIVERSIDAD CES","2025-04-14","","9.40870286"
"UNIVERSIDAD CES","2025-04-13","","7.94883238"
"UNIVERSIDAD CES","2025-04-12","","6.84908333"
"UNIVERSIDAD CES","2025-04-11","","5.40543938"
"UNIVERSIDAD CES","2025-04-10","","14.01484792"
"UNIVERSIDAD CES","2025-04-09","","9.17648571"
"UNIVERSIDAD CES","2025-04-08","","7.74633958"
"UNIVERSIDAD CES","2025-04-07","","8.35938126"
"UNIVERSIDAD CES","2025-04-06","","11.48228923"
"UNIVERSIDAD CES","2025-04-05","","9.79453"
"UNIVERSIDAD CES","2025-04-04","","9.75556308"
"UNIVERSIDAD CES","2025-04-03","","13.69613667"
"UNIVERSIDAD CES","2025-04-02","","14.9577375"
"UNIVERSIDAD CES","2025-04-01","","14.50416667"
"UNIVERSIDAD CES","2025-03-31","","11.648255"
"UNIVERSIDAD CES","2025-03-30","","11.486145"
"UNIVERSIDAD CES","2025-03-29","","13.20207435"
"UNIVERSIDAD CES","2025-03-28","","21.83464042"
"UNIVERSIDAD CES","2025-03-27","","18.70314583"
"UNIVERSIDAD CES","2025-03-26","","18.1076875"
"UNIVERSIDAD CES","2025-03-25","","20.58128333"
"UNIVERSIDAD CES","2025-03-24","","12.76388458"
"UNIVERSIDAD CES","2025-03-23","","12.3773"
"UNIVERSIDAD CES","2025-03-22","","9.061155"
"UNIVERSIDAD CES","2025-03-21","","6.37445923"
"UNIVERSIDAD CES","2025-03-20","","11.32025859"
"UNIVERSIDAD CES","2025-03-19","","8.39967475"
"UNIVERSIDAD CES","2025-03-18","","10.67906542"
"UNIVERSIDAD CES","2025-03-17","","18.87376682"
"UNIVERSIDAD CES","2025-03-16","","11.68134338"
"UNIVERSIDAD CES","2025-03-15","","20.13819048"
"UNIVERSIDAD CES","2025-03-14","","11.79816283"
"UNIVERSIDAD CES","2025-03-13","","14.440919"
"UNIVERSIDAD CES","2025-03-12","","17.15903375"
"UNIVERSIDAD CES","2025-03-11","","18.72181667"
"UNIVERSIDAD CES","2025-03-10","","18.07356667"
"UNIVERSIDAD CES","2025-03-09","","16.3322725"
"UNIVERSIDAD CES","2025-03-08","","11.12947042"
"UNIVERSIDAD CES","2025-03-07","","15.83787958"
"UNIVERSIDAD CES","2025-03-06","","12.18970646"
"UNIVERSIDAD CES","2025-03-05","","16.66251167"
"UNIVERSIDAD CES","2025-03-04","","17.85796125"
"UNIVERSIDAD CES","2025-03-03","","15.38214458"
"UNIVERSIDAD CES","2025-03-02","","10.47882636"
"UNIVERSIDAD CES","2025-03-01","","14.7875"
"UNIVERSIDAD CES","2025-02-28","","17.26631952"
"UNIVERSIDAD CES","2025-02-27","","12.89971818"
"UNIVERSIDAD CES","2025-02-26","","14.62625591"
"UNIVERSIDAD CES","2025-02-25","","11.14745913"
"UNIVERSIDAD CES","2025-02-24","","11.41799083"
"UNIVERSIDAD CES","2025-02-23","","10.62481667"
"UNIVERSIDAD CES","2025-02-22","","14.14903875"
"UNIVERSIDAD CES","2025-02-21","","14.8812587"
"UNIVERSIDAD CES","2025-02-20","","13.90849792"
"UNIVERSIDAD CES","2025-02-19","","16.98254708"
"UNIVERSIDAD CES","2025-02-18","","10.50635708"
"UNIVERSIDAD CES","2025-02-17","","8.69319409"
"UNIVERSIDAD CES","2025-02-16","","9.26717042"
"UNIVERSIDAD CES","2025-02-15","","12.27369292"
"UNIVERSIDAD CES","2025-02-14","","15.67127952"
"UNIVERSIDAD CES","2025-02-13","","10.69369042"
"UNIVERSIDAD CES","2025-02-12","","10.55135792"
"UNIVERSIDAD CES","2025-02-11","","11.813704"
"UNIVERSIDAD CES","2025-02-10","","17.84141545"
"UNIVERSIDAD CES","2025-02-09","","12.8861485"
"UNIVERSIDAD CES","2025-02-08","","17.87663779"
"UNIVERSIDAD CES","2025-02-07","","18.78286182"
"UNIVERSIDAD CES","2025-02-06","","17.88862083"
"UNIVERSIDAD CES","2025-02-05","","21.737087"
"UNIVERSIDAD CES","2025-02-04","","14.30905882"
"UNIVERSIDAD CES","2025-02-03","","13.40798579"
"UNIVERSIDAD CES","2025-02-02","","13.034125"
"UNIVERSIDAD CES","2025-02-01","","7.02307692"
"UNIVERSIDAD CES","2025-01-31","","10.054387"
"UNIVERSIDAD CES","2025-01-30","","9.86526458"
"UNIVERSIDAD CES","2025-01-29","","10.88915875"
"UNIVERSIDAD CES","2025-01-28","","12.02349941"
"UNIVERSIDAD CES","2025-01-27","","12.82322917"
"UNIVERSIDAD CES","2025-01-26","","9.876515"
"UNIVERSIDAD CES","2025-01-25","","13.70964958"
"UNIVERSIDAD CES","2025-01-24","","20.25312458"
"UNIVERSIDAD CES","2025-01-23","","14.58497708"
"UNIVERSIDAD CES","2025-01-22","","14.24431125"
"UNIVERSIDAD CES","2025-01-21","","13.32967348"
"UNIVERSIDAD CES","2025-01-20","","11.75032667"
"UNIVERSIDAD CES","2025-01-19","","11.60277458"
"UNIVERSIDAD CES","2025-01-18","","8.14355917"
"UNIVERSIDAD CES","2025-01-17","","9.32669833"
"UNIVERSIDAD CES","2025-01-16","","12.87225708"
"UNIVERSIDAD CES","2025-01-15","","10.06256958"
"UNIVERSIDAD CES","2025-01-14","","12.126475"
"UNIVERSIDAD CES","2025-01-13","","11.09560875"
"UNIVERSIDAD CES","2025-01-12","","9.91510625"
"UNIVERSIDAD CES","2025-01-11","","14.38094958"
"UNIVERSIDAD CES","2025-01-10","","12.46019042"
"UNIVERSIDAD CES","2025-01-09","","10.82655179"
"UNIVERSIDAD CES","2025-01-08","","9.40261035"
"UNIVERSIDAD CES","2025-01-07","","8.88403083"
"UNIVERSIDAD CES","2025-01-06","","5.69980958"
"UNIVERSIDAD CES","2025-01-05","","6.91893958"
"UNIVERSIDAD CES","2025-01-04","","11.53673667"
"UNIVERSIDAD CES","2025-01-03","","11.53698133"
"UNIVERSIDAD CES","2025-01-02","","10.48112917"
"UNIVERSIDAD CES","2025-01-01","","17.95833333"
"UNIVERSIDAD CES","2024-12-31","","7.60997304"
"UNIVERSIDAD CES","2024-12-30","","9.10533389"
"UNIVERSIDAD CES","2024-12-29","","8.18051292"
"UNIVERSIDAD CES","2024-12-28","","9.20452742"
"UNIVERSIDAD CES","2024-12-27","","9.80650833"
"UNIVERSIDAD CES","2024-12-26","","6.39307752"
"UNIVERSIDAD CES","2024-12-25","","11.41713542"
"UNIVERSIDAD CES","2024-12-24","","8.21521213"
"UNIVERSIDAD CES","2024-12-23","","9.08286458"
"UNIVERSIDAD CES","2024-12-22","","8.57543316"
"UNIVERSIDAD CES","2024-12-21","","16.60390083"
"UNIVERSIDAD CES","2024-12-20","","18.32631917"
"UNIVERSIDAD CES","2024-12-19","","14.00802208"
"UNIVERSIDAD CES","2024-12-18","","14.69975314"
"UNIVERSIDAD CES","2024-12-17","","15.39741875"
"UNIVERSIDAD CES","2024-12-16","","15.970145"
"UNIVERSIDAD CES","2024-12-15","","7.21009263"
"UNIVERSIDAD CES","2024-12-14","","19.59673125"
"UNIVERSIDAD CES","2024-12-13","","16.70193565"
"UNIVERSIDAD CES","2024-12-12","","13.58433042"
"UNIVERSIDAD CES","2024-12-11","","15.253525"
"UNIVERSIDAD CES","2024-12-10","","12.44647367"
"UNIVERSIDAD CES","2024-12-09","","11.04635125"
"UNIVERSIDAD CES","2024-12-08","","11.04445609"
"UNIVERSIDAD CES","2024-12-07","","10.06159417"
"UNIVERSIDAD CES","2024-12-06","","12.46238917"
"UNIVERSIDAD CES","2024-12-05","","12.6743775"
"UNIVERSIDAD CES","2024-12-04","","13.2107525"
"UNIVERSIDAD CES","2024-12-03","","11.86189083"
"UNIVERSIDAD CES","2024-12-02","","11.065275"
"UNIVERSIDAD CES","2024-12-01","","18.2"
"UNIVERSIDAD CES","2024-11-30","","10.54203708"
"UNIVERSIDAD CES","2024-11-29","","12.29743143"
"UNIVERSIDAD CES","2024-11-28","","11.28154125"
"UNIVERSIDAD CES","2024-11-27","","10.79173274"
"UNIVERSIDAD CES","2024-11-26","","11.44581714"
"UNIVERSIDAD CES","2024-11-25","","9.83334654"
"UNIVERSIDAD CES","2024-11-24","","8.41089667"
"UNIVERSIDAD CES","2024-11-23","","7.07662958"
"UNIVERSIDAD CES","2024-11-22","","7.87784371"
"UNIVERSIDAD CES","2024-11-21","","12.4744015"
"UNIVERSIDAD CES","2024-11-20","","15.94490583"
"UNIVERSIDAD CES","2024-11-19","","10.79841478"
"UNIVERSIDAD CES","2024-11-18","","7.27164995"
"UNIVERSIDAD CES","2024-11-17","","7.89966542"
"UNIVERSIDAD CES","2024-11-16","","13.45532708"
"UNIVERSIDAD CES","2024-11-15","","12.9605325"
"UNIVERSIDAD CES","2024-11-14","","6.53247958"
"UNIVERSIDAD CES","2024-11-13","","8.11926208"
"UNIVERSIDAD CES","2024-11-12","","6.68999783"
"UNIVERSIDAD CES","2024-11-11","","3.15046827"
"UNIVERSIDAD CES","2024-11-10","","3.4176085"
"UNIVERSIDAD CES","2024-11-09","","3.72329987"
"UNIVERSIDAD CES","2024-11-08","","4.86863524"
"UNIVERSIDAD CES","2024-11-07","","12.0308987"
"UNIVERSIDAD CES","2024-11-06","","8.99876479"
"UNIVERSIDAD CES","2024-11-05","","6.95617708"
"UNIVERSIDAD CES","2024-11-04","","3.70037627"
"UNIVERSIDAD CES","2024-11-03","","2.56819758"
"UNIVERSIDAD CES","2024-11-02","","2.69688988"
"UNIVERSIDAD CES","2024-11-01","","8.93333333"
"UNIVERSIDAD CES","2024-09-30","","12.05651143"
"UNIVERSIDAD CES","2024-09-29","","6.85759063"
"UNIVERSIDAD CES","2024-09-28","","12.44191917"
"UNIVERSIDAD CES","2024-09-27","","14.49856063"
"UNIVERSIDAD CES","2024-09-26","","13.66963191"
"UNIVERSIDAD CES","2024-09-25","","10.050327"
"UNIVERSIDAD CES","2024-09-24","","10.712965"
"UNIVERSIDAD CES","2024-09-23","","11.114846"
"UNIVERSIDAD CES","2024-09-22","","10.04864292"
"UNIVERSIDAD CES","2024-09-21","","13.67869042"
"UNIVERSIDAD CES","2024-09-20","","16.12757692"
"UNIVERSIDAD CES","2024-09-19","","20.09808333"
"UNIVERSIDAD CES","2024-09-18","","15.50729667"
"UNIVERSIDAD CES","2024-09-17","","11.06038542"
"UNIVERSIDAD CES","2024-09-16","","14.41401167"
"UNIVERSIDAD CES","2024-09-15","","11.6986625"
"UNIVERSIDAD CES","2024-09-14","","17.38733136"
"UNIVERSIDAD CES","2024-09-13","","10.29675783"
"UNIVERSIDAD CES","2024-09-12","","14.9025275"
"UNIVERSIDAD CES","2024-09-11","","15.43099083"
"UNIVERSIDAD CES","2024-09-10","","15.47798458"
"UNIVERSIDAD CES","2024-09-09","","9.43800667"
"UNIVERSIDAD CES","2024-09-08","","14.96289438"
"UNIVERSIDAD CES","2024-09-07","","12.67110288"
"UNIVERSIDAD CES","2024-09-06","","18.5674319"
"UNIVERSIDAD CES","2024-09-05","","10.69837417"
"UNIVERSIDAD CES","2024-09-04","","18.30588"
"UNIVERSIDAD CES","2024-09-03","","19.41296917"
"UNIVERSIDAD CES","2024-09-02","","19.73343167"
"UNIVERSIDAD CES","2024-09-01","","10.31472348"
"UNIVERSIDAD CES","2024-08-31","","23.38890833"
"UNIVERSIDAD CES","2024-08-30","","16.09478864"
"UNIVERSIDAD CES","2024-08-29","","11.25006565"
"UNIVERSIDAD CES","2024-08-28","","14.4214375"
"UNIVERSIDAD CES","2024-08-27","","13.7811975"
"UNIVERSIDAD CES","2024-08-26","","13.42918"
"UNIVERSIDAD CES","2024-08-25","","11.70554375"
"UNIVERSIDAD CES","2024-08-24","","9.36633261"
"UNIVERSIDAD CES","2024-08-23","","11.44972625"
"UNIVERSIDAD CES","2024-08-22","","11.8317075"
"UNIVERSIDAD CES","2024-08-21","","15.34414833"
"UNIVERSIDAD CES","2024-08-20","","12.25237"
"UNIVERSIDAD CES","2024-08-19","","7.82553225"
"UNIVERSIDAD CES","2024-08-18","","10.15595792"
"UNIVERSIDAD CES","2024-08-17","","8.46802"
"UNIVERSIDAD CES","2024-08-16","","15.20390375"
"UNIVERSIDAD CES","2024-08-15","","14.04389542"
"UNIVERSIDAD CES","2024-08-14","","9.56401182"
"UNIVERSIDAD CES","2024-08-13","","8.86355458"
"UNIVERSIDAD CES","2024-08-12","","11.12190375"
"UNIVERSIDAD CES","2024-08-11","","5.11662612"
"UNIVERSIDAD CES","2024-08-10","","10.62221542"
"UNIVERSIDAD CES","2024-08-09","","10.64686087"
"UNIVERSIDAD CES","2024-08-08","","17.19011542"
"UNIVERSIDAD CES","2024-08-07","","7.3899265"
"UNIVERSIDAD CES","2024-08-06","","8.9711525"
"UNIVERSIDAD CES","2024-08-05","","7.50450404"
"UNIVERSIDAD CES","2024-08-04","","9.6057125"
"UNIVERSIDAD CES","2024-08-03","","9.80142719"
"UNIVERSIDAD CES","2024-08-02","","11.0502705"
"UNIVERSIDAD CES","2024-08-01","","9.48692792"
"UNIVERSIDAD CES","2024-07-31","","8.46940042"
"UNIVERSIDAD CES","2024-07-30","","8.47256926"
"UNIVERSIDAD CES","2024-07-29","","7.39900792"
"UNIVERSIDAD CES","2024-07-28","","7.00265792"
"UNIVERSIDAD CES","2024-07-27","","9.30962958"
"UNIVERSIDAD CES","2024-07-26","","14.54394304"
"UNIVERSIDAD CES","2024-07-25","","12.43035708"
"UNIVERSIDAD CES","2024-07-24","","10.6445395"
"UNIVERSIDAD CES","2024-07-23","","9.67651708"
"UNIVERSIDAD CES","2024-07-22","","6.90391833"
"UNIVERSIDAD CES","2024-07-21","","6.92903708"
"UNIVERSIDAD CES","2024-07-20","","8.17732474"
"UNIVERSIDAD CES","2024-07-19","","10.62581636"
"UNIVERSIDAD CES","2024-07-18","","12.13880727"
"UNIVERSIDAD CES","2024-07-17","","10.56281708"
"UNIVERSIDAD CES","2024-07-16","","7.25572421"
"UNIVERSIDAD CES","2024-07-15","","9.78442524"
"UNIVERSIDAD CES","2024-07-14","","5.175279"
"UNIVERSIDAD CES","2024-07-13","","9.21277174"
"UNIVERSIDAD CES","2024-07-12","","13.2412775"
"UNIVERSIDAD CES","2024-07-11","","13.59116583"
"UNIVERSIDAD CES","2024-07-10","","10.40863385"
"UNIVERSIDAD CES","2024-07-09","","9.12247188"
"UNIVERSIDAD CES","2024-07-08","","6.44931817"
"UNIVERSIDAD CES","2024-07-07","","7.12229042"
"UNIVERSIDAD CES","2024-07-06","","7.09693996"
"UNIVERSIDAD CES","2024-07-05","","5.41867822"
"UNIVERSIDAD CES","2024-07-04","","9.9655975"
"UNIVERSIDAD CES","2024-07-03","","10.39093739"
"UNIVERSIDAD CES","2024-07-02","","11.06893904"
"UNIVERSIDAD CES","2024-07-01","","7.40859658"
"UNIVERSIDAD CES","2024-06-30","","7.24553025"
"UNIVERSIDAD CES","2024-06-29","","9.28267227"
"UNIVERSIDAD CES","2024-06-28","","12.58272667"
"UNIVERSIDAD CES","2024-06-27","","9.5047325"
"UNIVERSIDAD CES","2024-06-26","","6.84875821"
"UNIVERSIDAD CES","2024-06-25","","8.81958043"
"UNIVERSIDAD CES","2024-06-24","","11.48662333"
"UNIVERSIDAD CES","2024-06-23","","9.38282818"
"UNIVERSIDAD CES","2024-06-22","","12.98104542"
"UNIVERSIDAD CES","2024-06-21","","8.47160333"
"UNIVERSIDAD CES","2024-06-20","","11.53360217"
"UNIVERSIDAD CES","2024-06-19","","13.15449958"
"UNIVERSIDAD CES","2024-06-18","","8.89495583"
"UNIVERSIDAD CES","2024-06-17","","9.11985947"
"UNIVERSIDAD CES","2024-06-16","","5.7650297"
"UNIVERSIDAD CES","2024-06-15","","4.94863304"
"UNIVERSIDAD CES","2024-06-14","","10.41677333"
"UNIVERSIDAD CES","2024-06-13","","9.28962583"
"UNIVERSIDAD CES","2024-06-12","","9.471695"
"UNIVERSIDAD CES","2024-06-11","","10.27069"
"UNIVERSIDAD CES","2024-06-10","","11.42081375"
"UNIVERSIDAD CES","2024-06-09","","6.32827857"
"UNIVERSIDAD CES","2024-06-08","","10.09302875"
"UNIVERSIDAD CES","2024-06-07","","10.17373"
