"Estacion","Fecha inicial","Fecha final","DViento"
"UNIVERSIDAD DE MEDELLÍN","2025-10-31","","220.9726087"
"UNIVERSIDAD DE MEDELLÍN","2025-10-30","","203.865"
"UNIVERSIDAD DE MEDELLÍN","2025-10-29","","198.71129167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-28","","193.78345833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-27","","214.01741667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-26","","185.533125"
"UNIVERSIDAD DE MEDELLÍN","2025-10-25","","197.76308333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-24","","197.20908333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-23","","199.37095833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-22","","194.69441667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-21","","222.56329167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-20","","185.62770833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-19","","198.33454167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-18","","163.58233333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-17","","197.16266667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-16","","175.900875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-15","","212.05266667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-14","","77.551625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-13","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-12","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-11","","213.777625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-10","","203.62070833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-09","","198.28083333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-08","","198.16595833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-07","","194.95808333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-06","","182.99070833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-05","","203.80470833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-04","","180.944375"
"UNIVERSIDAD DE MEDELLÍN","2025-10-03","","201.44908333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-02","","230.01866667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-01","","105.03491667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-31","","199.50912926"
"UNIVERSIDAD DE MEDELLÍN","2025-08-30","","201.39019004"
"UNIVERSIDAD DE MEDELLÍN","2025-08-29","","186.59579064"
"UNIVERSIDAD DE MEDELLÍN","2025-08-28","","172.41790409"
"UNIVERSIDAD DE MEDELLÍN","2025-08-27","","177.38209919"
"UNIVERSIDAD DE MEDELLÍN","2025-08-26","","152.91767255"
"UNIVERSIDAD DE MEDELLÍN","2025-08-25","","219.9308163"
"UNIVERSIDAD DE MEDELLÍN","2025-08-24","","167.16446698"
"UNIVERSIDAD DE MEDELLÍN","2025-08-23","","202.00873317"
"UNIVERSIDAD DE MEDELLÍN","2025-08-22","","197.76826285"
"UNIVERSIDAD DE MEDELLÍN","2025-08-21","","211.73563919"
"UNIVERSIDAD DE MEDELLÍN","2025-08-20","","193.79262718"
"UNIVERSIDAD DE MEDELLÍN","2025-08-19","","193.32616521"
"UNIVERSIDAD DE MEDELLÍN","2025-08-18","","198.37045104"
"UNIVERSIDAD DE MEDELLÍN","2025-08-17","","173.8219008"
"UNIVERSIDAD DE MEDELLÍN","2025-08-16","","178.53962637"
"UNIVERSIDAD DE MEDELLÍN","2025-08-15","","218.04553242"
"UNIVERSIDAD DE MEDELLÍN","2025-08-14","","239.30172616"
"UNIVERSIDAD DE MEDELLÍN","2025-08-13","","181.01350416"
"UNIVERSIDAD DE MEDELLÍN","2025-08-12","","199.15495929"
"UNIVERSIDAD DE MEDELLÍN","2025-08-11","","154.65990254"
"UNIVERSIDAD DE MEDELLÍN","2025-08-10","","191.39759382"
"UNIVERSIDAD DE MEDELLÍN","2025-08-09","","172.4950503"
"UNIVERSIDAD DE MEDELLÍN","2025-08-08","","157.50671506"
"UNIVERSIDAD DE MEDELLÍN","2025-08-07","","176.68893069"
"UNIVERSIDAD DE MEDELLÍN","2025-08-06","","160.48342749"
"UNIVERSIDAD DE MEDELLÍN","2025-08-05","","195.85742035"
"UNIVERSIDAD DE MEDELLÍN","2025-08-04","","204.97279246"
"UNIVERSIDAD DE MEDELLÍN","2025-08-03","","174.65015104"
"UNIVERSIDAD DE MEDELLÍN","2025-08-02","","216.60859224"
"UNIVERSIDAD DE MEDELLÍN","2025-08-01","","143.78017221"
"UNIVERSIDAD DE MEDELLÍN","2025-07-31","","207.13423089"
"UNIVERSIDAD DE MEDELLÍN","2025-07-30","","169.49839002"
"UNIVERSIDAD DE MEDELLÍN","2025-07-29","","198.22591834"
"UNIVERSIDAD DE MEDELLÍN","2025-07-28","","175.42145454"
"UNIVERSIDAD DE MEDELLÍN","2025-07-27","","168.96550249"
"UNIVERSIDAD DE MEDELLÍN","2025-07-26","","189.96525007"
"UNIVERSIDAD DE MEDELLÍN","2025-07-25","","208.04313969"
"UNIVERSIDAD DE MEDELLÍN","2025-07-24","","154.7958579"
"UNIVERSIDAD DE MEDELLÍN","2025-07-23","","155.04298787"
"UNIVERSIDAD DE MEDELLÍN","2025-07-22","","198.41989091"
"UNIVERSIDAD DE MEDELLÍN","2025-07-21","","200.20405606"
"UNIVERSIDAD DE MEDELLÍN","2025-07-20","","123.15959575"
