"Estacion","Fecha inicial","Fecha final","HAire10"
"UNIVERSIDAD DE MEDELLÍN","2025-10-31","","75.07708696"
"UNIVERSIDAD DE MEDELLÍN","2025-10-30","","81.21129167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-29","","78.77991667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-28","","82.87158333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-27","","84.60725"
"UNIVERSIDAD DE MEDELLÍN","2025-10-26","","83.561375"
"UNIVERSIDAD DE MEDELLÍN","2025-10-25","","82.48208333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-24","","87.45945833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-23","","87.242875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-22","","88.55158333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-21","","84.08145833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-20","","83.125625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-19","","76.3765"
"UNIVERSIDAD DE MEDELLÍN","2025-10-18","","78.96425"
"UNIVERSIDAD DE MEDELLÍN","2025-10-17","","82.90166667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-16","","82.00195833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-15","","86.285875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-14","","26.372625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-13","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-12","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-11","","81.141"
"UNIVERSIDAD DE MEDELLÍN","2025-10-10","","86.26183333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-09","","81.92675"
"UNIVERSIDAD DE MEDELLÍN","2025-10-08","","86.94558333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-07","","79.65791667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-06","","80.73116667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-05","","78.937"
"UNIVERSIDAD DE MEDELLÍN","2025-10-04","","85.80683333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-03","","77.80695833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-02","","77.467875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-01","","46.74483333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-31","","77.61763768"
"UNIVERSIDAD DE MEDELLÍN","2025-08-30","","69.9575625"
