"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD DE MEDELLÍN","2025-10-31","","22.33443478"
"UNIVERSIDAD DE MEDELLÍN","2025-10-30","","21.456625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-29","","22.46108333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-28","","20.949"
"UNIVERSIDAD DE MEDELLÍN","2025-10-27","","19.98845833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-26","","21.5175"
"UNIVERSIDAD DE MEDELLÍN","2025-10-25","","20.83008333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-24","","19.45575"
"UNIVERSIDAD DE MEDELLÍN","2025-10-23","","19.3205"
"UNIVERSIDAD DE MEDELLÍN","2025-10-22","","19.54316667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-21","","20.25329167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-20","","20.4145"
"UNIVERSIDAD DE MEDELLÍN","2025-10-19","","21.75466667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-18","","21.35241667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-17","","20.13170833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-16","","19.97291667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-15","","19.45604167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-14","","7.00716667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-13","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-12","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-11","","18.730625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-10","","19.06475"
"UNIVERSIDAD DE MEDELLÍN","2025-10-09","","20.171875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-08","","18.84166667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-07","","21.51233333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-06","","20.72329167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-05","","21.36925"
