"Estacion","Fecha inicial","Fecha final","PLiquida"
"UNIVERSIDAD DE MEDELLÍN","2025-10-31","","0.00652174"
"UNIVERSIDAD DE MEDELLÍN","2025-10-30","","0.02541667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-29","","8.3333E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-10-28","","0.01291667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-27","","0.1475"
"UNIVERSIDAD DE MEDELLÍN","2025-10-26","","0.06416667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-25","","0.08333333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-24","","0.06958333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-23","","0.04666667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-22","","0.16625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-21","","0.01541667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-20","","0.79833333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-19","","0.00125"
"UNIVERSIDAD DE MEDELLÍN","2025-10-18","","0.01291667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-17","","0.03375"
"UNIVERSIDAD DE MEDELLÍN","2025-10-16","","0.025"
"UNIVERSIDAD DE MEDELLÍN","2025-10-15","","0.37416667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-14","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-13","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-12","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-11","","0.26333333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-10","","0.17041667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-09","","0.20291667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-08","","0.03375"
"UNIVERSIDAD DE MEDELLÍN","2025-10-07","","0.03583333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-06","","0.05125"
"UNIVERSIDAD DE MEDELLÍN","2025-10-05","","0.08708333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-04","","0.13541667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-03","","0.03208333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-02","","0.00708333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-01","","0.11833333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-31","","0.00478261"
"UNIVERSIDAD DE MEDELLÍN","2025-08-30","","0.00375"
"UNIVERSIDAD DE MEDELLÍN","2025-08-29","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-08-28","","0.00541667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-27","","0.005"
"UNIVERSIDAD DE MEDELLÍN","2025-08-26","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-08-25","","0.015"
"UNIVERSIDAD DE MEDELLÍN","2025-08-24","","0.01"
"UNIVERSIDAD DE MEDELLÍN","2025-08-23","","0.07291667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-22","","0.385"
"UNIVERSIDAD DE MEDELLÍN","2025-08-21","","0.30333333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-20","","0.02041667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-19","","0.00208333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-18","","0.26625"
"UNIVERSIDAD DE MEDELLÍN","2025-08-17","","0.1375"
"UNIVERSIDAD DE MEDELLÍN","2025-08-16","","0.12125"
"UNIVERSIDAD DE MEDELLÍN","2025-08-15","","0.17541667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-14","","0.08125"
"UNIVERSIDAD DE MEDELLÍN","2025-08-13","","0.01083333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-12","","4.1667E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-08-11","","0.2675"
"UNIVERSIDAD DE MEDELLÍN","2025-08-10","","0.17583333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-09","","0.27625"
"UNIVERSIDAD DE MEDELLÍN","2025-08-08","","0.12375"
"UNIVERSIDAD DE MEDELLÍN","2025-08-07","","0.12958333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-06","","0.00541667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-05","","4.1667E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-08-04","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-08-03","","0.10833333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-02","","0.04166667"
"UNIVERSIDAD DE MEDELLÍN","2025-08-01","","0.02125"
"UNIVERSIDAD DE MEDELLÍN","2025-07-31","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-30","","0.09041667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-29","","0.04708333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-28","","0.13583333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-27","","0.03458333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-26","","0.37458333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-25","","0.28291667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-24","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-23","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-22","","0.00125"
"UNIVERSIDAD DE MEDELLÍN","2025-07-21","","0.01291667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-20","","0.00125"
"UNIVERSIDAD DE MEDELLÍN","2025-07-19","","4.1667E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-07-18","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-17","","0.02833333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-16","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-15","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-07-14","","0.01541667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-13","","4.1667E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-07-12","","0.01"
"UNIVERSIDAD DE MEDELLÍN","2025-07-11","","0.0475"
"UNIVERSIDAD DE MEDELLÍN","2025-07-10","","8.3333E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-07-09","","0.04083333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-08","","0.00208333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-07","","0.0175"
"UNIVERSIDAD DE MEDELLÍN","2025-07-06","","4.1667E-4"
"UNIVERSIDAD DE MEDELLÍN","2025-07-05","","0.01166667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-04","","0.05375"
"UNIVERSIDAD DE MEDELLÍN","2025-07-03","","0.01583333"
"UNIVERSIDAD DE MEDELLÍN","2025-07-02","","0.01166667"
"UNIVERSIDAD DE MEDELLÍN","2025-07-01","","0.0"
