"Estacion","Fecha inicial","Fecha final","RGlobal"
"UNIVERSIDAD DE MEDELLÍN","2015-12-31","","143.36956522"
"UNIVERSIDAD DE MEDELLÍN","2015-12-30","","191.74166667"
"UNIVERSIDAD DE MEDELLÍN","2015-12-29","","235.99130435"
"UNIVERSIDAD DE MEDELLÍN","2015-12-28","","151.57391304"
"UNIVERSIDAD DE MEDELLÍN","2015-12-27","","186.6826087"
"UNIVERSIDAD DE MEDELLÍN","2015-12-26","","184.89565217"
"UNIVERSIDAD DE MEDELLÍN","2015-12-25","","206.25217391"
"UNIVERSIDAD DE MEDELLÍN","2015-12-24","","214.25217391"
"UNIVERSIDAD DE MEDELLÍN","2015-12-23","","203.62608696"
"UNIVERSIDAD DE MEDELLÍN","2015-12-22","","164.42173913"
"UNIVERSIDAD DE MEDELLÍN","2015-12-21","","212.72173913"
"UNIVERSIDAD DE MEDELLÍN","2015-12-20","","195.02173913"
"UNIVERSIDAD DE MEDELLÍN","2015-12-19","","155.27826087"
"UNIVERSIDAD DE MEDELLÍN","2015-12-18","","130.33478261"
"UNIVERSIDAD DE MEDELLÍN","2015-12-17","","142.06086957"
"UNIVERSIDAD DE MEDELLÍN","2015-12-16","","175.25833333"
"UNIVERSIDAD DE MEDELLÍN","2015-12-15","","167.16086957"
"UNIVERSIDAD DE MEDELLÍN","2015-12-14","","146.56956522"
"UNIVERSIDAD DE MEDELLÍN","2015-12-13","","150.04347826"
"UNIVERSIDAD DE MEDELLÍN","2015-12-12","","232.2"
"UNIVERSIDAD DE MEDELLÍN","2015-12-11","","189.25217391"
"UNIVERSIDAD DE MEDELLÍN","2015-12-10","","193.86521739"
"UNIVERSIDAD DE MEDELLÍN","2015-12-09","","159.06521739"
"UNIVERSIDAD DE MEDELLÍN","2015-12-08","","168.20416667"
"UNIVERSIDAD DE MEDELLÍN","2015-12-07","","143.37826087"
"UNIVERSIDAD DE MEDELLÍN","2015-12-06","","166.25416667"
"UNIVERSIDAD DE MEDELLÍN","2015-12-05","","211.15652174"
"UNIVERSIDAD DE MEDELLÍN","2015-12-04","","131.20434783"
"UNIVERSIDAD DE MEDELLÍN","2015-12-03","","184.7"
"UNIVERSIDAD DE MEDELLÍN","2015-12-02","","173.275"
"UNIVERSIDAD DE MEDELLÍN","2015-12-01","","127.89130435"
"UNIVERSIDAD DE MEDELLÍN","2015-11-30","","154.25833333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-29","","185.81666667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-28","","118.75416667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-27","","187.15"
"UNIVERSIDAD DE MEDELLÍN","2015-11-26","","28.8"
"UNIVERSIDAD DE MEDELLÍN","2015-11-25","","191.72083333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-24","","165.7625"
"UNIVERSIDAD DE MEDELLÍN","2015-11-23","","160.775"
"UNIVERSIDAD DE MEDELLÍN","2015-11-22","","190.83333333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-21","","161.36666667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-20","","184.69583333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-19","","151.39166667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-18","","111.96666667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-17","","103.77083333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-16","","108.3125"
"UNIVERSIDAD DE MEDELLÍN","2015-11-15","","97.64583333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-14","","148.97916667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-13","","190.75416667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-12","","152.7875"
"UNIVERSIDAD DE MEDELLÍN","2015-11-11","","191.16666667"
"UNIVERSIDAD DE MEDELLÍN","2015-11-10","","212.00833333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-09","","165.6875"
"UNIVERSIDAD DE MEDELLÍN","2015-11-08","","191.4375"
"UNIVERSIDAD DE MEDELLÍN","2015-11-07","","147.99583333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-06","","152.80833333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-05","","109.2375"
"UNIVERSIDAD DE MEDELLÍN","2015-11-04","","178.10833333"
"UNIVERSIDAD DE MEDELLÍN","2015-11-03","","153.3625"
"UNIVERSIDAD DE MEDELLÍN","2015-11-02","","79.1375"
"UNIVERSIDAD DE MEDELLÍN","2015-11-01","","152.51666667"
"UNIVERSIDAD DE MEDELLÍN","2015-10-31","","144.3375"
"UNIVERSIDAD DE MEDELLÍN","2015-10-30","","196.05"
"UNIVERSIDAD DE MEDELLÍN","2015-10-29","","211.80833333"
"UNIVERSIDAD DE MEDELLÍN","2015-10-28","","152.0125"
"UNIVERSIDAD DE MEDELLÍN","2015-10-27","","111.71666667"
"UNIVERSIDAD DE MEDELLÍN","2015-10-26","","106.88333333"
"UNIVERSIDAD DE MEDELLÍN","2015-10-25","","132.425"
"UNIVERSIDAD DE MEDELLÍN","2015-10-24","","81.86666667"
"UNIVERSIDAD DE MEDELLÍN","2015-10-23","","147.59166667"
"UNIVERSIDAD DE MEDELLÍN","2015-10-22","","192.79166667"
"UNIVERSIDAD DE MEDELLÍN","2015-10-21","","175.075"
"UNIVERSIDAD DE MEDELLÍN","2015-10-20","","192.20416667"
