"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD DE MEDELLÍN","2025-10-31","","0.62352174"
"UNIVERSIDAD DE MEDELLÍN","2025-10-30","","0.653125"
"UNIVERSIDAD DE MEDELLÍN","2025-10-29","","0.93579167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-28","","0.89554167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-27","","1.05479167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-26","","0.77775"
"UNIVERSIDAD DE MEDELLÍN","2025-10-25","","0.78145833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-24","","1.02833333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-23","","0.836875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-22","","0.769625"
"UNIVERSIDAD DE MEDELLÍN","2025-10-21","","0.99008333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-20","","0.71095833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-19","","1.05716667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-18","","0.79995833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-17","","0.77754167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-16","","0.86554167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-15","","0.78216667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-14","","0.28258333"
"UNIVERSIDAD DE MEDELLÍN","2025-10-13","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-12","","0.0"
"UNIVERSIDAD DE MEDELLÍN","2025-10-11","","0.571125"
"UNIVERSIDAD DE MEDELLÍN","2025-10-10","","0.755875"
"UNIVERSIDAD DE MEDELLÍN","2025-10-09","","0.77775"
"UNIVERSIDAD DE MEDELLÍN","2025-10-08","","0.82816667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-07","","0.78775"
"UNIVERSIDAD DE MEDELLÍN","2025-10-06","","0.69591667"
"UNIVERSIDAD DE MEDELLÍN","2025-10-05","","0.92825"
"UNIVERSIDAD DE MEDELLÍN","2025-10-04","","0.85020833"
"UNIVERSIDAD DE MEDELLÍN","2025-10-03","","0.809375"
"UNIVERSIDAD DE MEDELLÍN","2025-10-02","","0.81079167"
"UNIVERSIDAD DE MEDELLÍN","2025-10-01","","0.51154167"
"UNIVERSIDAD DE MEDELLÍN","2025-08-31","","0.81331158"
"UNIVERSIDAD DE MEDELLÍN","2025-08-30","","1.11400131"
"UNIVERSIDAD DE MEDELLÍN","2025-08-29","","1.38009324"
"UNIVERSIDAD DE MEDELLÍN","2025-08-28","","1.52109149"
"UNIVERSIDAD DE MEDELLÍN","2025-08-27","","1.25233449"
"UNIVERSIDAD DE MEDELLÍN","2025-08-26","","1.10094105"
"UNIVERSIDAD DE MEDELLÍN","2025-08-25","","0.84758336"
"UNIVERSIDAD DE MEDELLÍN","2025-08-24","","1.11663009"
"UNIVERSIDAD DE MEDELLÍN","2025-08-23","","0.60939639"
"UNIVERSIDAD DE MEDELLÍN","2025-08-22","","0.83876965"
"UNIVERSIDAD DE MEDELLÍN","2025-08-21","","0.72232793"
"UNIVERSIDAD DE MEDELLÍN","2025-08-20","","0.96006184"
"UNIVERSIDAD DE MEDELLÍN","2025-08-19","","0.86946263"
"UNIVERSIDAD DE MEDELLÍN","2025-08-18","","0.63478378"
"UNIVERSIDAD DE MEDELLÍN","2025-08-17","","0.78153113"
"UNIVERSIDAD DE MEDELLÍN","2025-08-16","","0.89840393"
"UNIVERSIDAD DE MEDELLÍN","2025-08-15","","0.75271356"
"UNIVERSIDAD DE MEDELLÍN","2025-08-14","","0.88761187"
"UNIVERSIDAD DE MEDELLÍN","2025-08-13","","0.92274917"
"UNIVERSIDAD DE MEDELLÍN","2025-08-12","","1.10796963"
"UNIVERSIDAD DE MEDELLÍN","2025-08-11","","0.9885601"
"UNIVERSIDAD DE MEDELLÍN","2025-08-10","","0.81484102"
"UNIVERSIDAD DE MEDELLÍN","2025-08-09","","0.87480654"
"UNIVERSIDAD DE MEDELLÍN","2025-08-08","","0.81693873"
"UNIVERSIDAD DE MEDELLÍN","2025-08-07","","0.74471967"
"UNIVERSIDAD DE MEDELLÍN","2025-08-06","","1.09747967"
"UNIVERSIDAD DE MEDELLÍN","2025-08-05","","1.38194741"
"UNIVERSIDAD DE MEDELLÍN","2025-08-04","","1.07632698"
"UNIVERSIDAD DE MEDELLÍN","2025-08-03","","1.08102438"
"UNIVERSIDAD DE MEDELLÍN","2025-08-02","","0.88393282"
"UNIVERSIDAD DE MEDELLÍN","2025-08-01","","1.07130173"
"UNIVERSIDAD DE MEDELLÍN","2025-07-31","","1.02727946"
"UNIVERSIDAD DE MEDELLÍN","2025-07-30","","1.03478249"
"UNIVERSIDAD DE MEDELLÍN","2025-07-29","","0.84682209"
"UNIVERSIDAD DE MEDELLÍN","2025-07-28","","0.91781236"
"UNIVERSIDAD DE MEDELLÍN","2025-07-27","","1.15745311"
"UNIVERSIDAD DE MEDELLÍN","2025-07-26","","0.74342895"
