"Estacion","Fecha inicial","Fecha final","DViento"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","100.9"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","51.15833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","132.65833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","106.12083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","190.8875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","134.65833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","112.29583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","70.57083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","34.82083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","41.04583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","120.3625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","55.30416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","105.32916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","108.32916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","98.025"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","113.57083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","94.7"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","78.2"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","145.4875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","130.50416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","131.325"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","68.08333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-03","","138.94166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-02","","141.69166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-01","","137.325"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-31","","86.5875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-30","","109.10833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-29","","124.45"
