"Estacion","Fecha inicial","Fecha final","HAire2"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-28","","68.45833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-27","","68.675"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-26","","68.72083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-25","","64.625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-24","","72.57916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-23","","64.47916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-22","","68.75"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-21","","68.9"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-20","","57.20833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-19","","62.24166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-18","","63.59583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-17","","73.9"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-16","","66.66666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-15","","64.94166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-14","","68.1"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-13","","64.03043478"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-12","","63.02083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-11","","66.95833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-10","","71.6875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-09","","65.26363636"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-08","","74.61666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-07","","63.47916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-06","","70.7"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-05","","73.1"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-04","","70.37916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-03","","78.6875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-02","","81.11304348"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-02-01","","73.29166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-31","","63.8375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-30","","63.4625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-29","","62.83333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-28","","55.52916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-27","","61.68333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-26","","58.18823529"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-25","","67.46923077"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-24","","65.05833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-23","","64.77083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-22","","65.97916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-21","","67.12083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-20","","68.0875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-19","","63.83333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-18","","56.28"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-17","","73.04444444"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-16","","66.075"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-15","","66.13333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-14","","63.60833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-13","","63.4625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-12","","60.34583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-11","","56.8375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-10","","54.2875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-09","","51.90416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-08","","52.12083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-07","","54.95833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-06","","57.3625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-05","","58.52083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-04","","60.55416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-03","","62.64583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-02","","57.31666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-01-01","","60.75416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2012-12-31","","60.175"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2012-12-30","","63.55833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2012-12-29","","65.1625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2012-12-28","","60.825"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2012-12-27","","63.67916667"
