"Estacion","Fecha inicial","Fecha final","NO2"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","28.33414828"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","33.74688752"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","23.93431391"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","42.05730969"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","42.71553566"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","44.04243178"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","61.2264938"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","47.10279472"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","39.41097646"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","32.52472305"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","40.57281856"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","42.47191135"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","45.07799402"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","50.41244673"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","44.88355228"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","39.13268971"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","33.48677817"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","38.53585167"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","47.25724002"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","45.49796442"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","43.44647128"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","39.23431083"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-03","","30.07442379"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-02","","27.95683382"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-01","","37.53588255"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-31","","33.49112665"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-30","","30.64508479"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-29","","35.81568838"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-28","","30.25113643"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-27","","31.74109645"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-26","","24.46843988"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-25","","24.10288589"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-24","","26.37739706"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-23","","33.46937644"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-22","","33.41827598"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-21","","37.50584281"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-20","","43.97718898"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-19","","26.39725901"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-18","","35.67836274"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-17","","38.19723472"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-16","","36.88209124"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-15","","42.92414496"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-14","","41.42396797"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-13","","41.69370664"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-12","","42.36167946"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-11","","35.89562197"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-10","","37.97306494"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-09","","45.92226592"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-08","","37.6730123"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-07","","37.66773145"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-06","","27.21363629"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-05","","25.38341394"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-04","","37.35902519"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-03","","29.80627565"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-02","","23.2407125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-01","","20.48328722"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-31","","33.42287517"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-30","","45.04754073"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-29","","30.69675721"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-28","","28.37637942"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-27","","40.26227474"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-26","","29.41892704"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-25","","20.28740825"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-24","","34.29901852"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-23","","34.45460776"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-22","","34.78524075"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-21","","32.69546796"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-20","","36.33902543"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-19","","35.1996622"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-18","","42.9291543"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-17","","46.16843426"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-16","","39.58339546"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-15","","31.3724476"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-14","","43.84622544"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-13","","44.07260472"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-12","","40.06399993"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-11","","46.17085768"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-10","","41.48408662"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-09","","33.37056475"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-08","","28.92826754"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-07","","41.26327026"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-06","","34.43686911"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-05","","33.99894238"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-04","","41.85486332"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-03","","43.58885368"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-02","","34.35546699"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-12-01","","26.96920757"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-30","","32.62811021"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-29","","42.54485236"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-28","","39.58029277"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-27","","30.78948551"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-26","","35.7182982"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-25","","30.29910784"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-24","","25.59924719"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-23","","44.77482472"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-22","","41.53015695"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-21","","27.47289944"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-20","","32.40487751"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-19","","39.61217375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-18","","37.87031556"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2019-11-17","","25.8039546"
