"Estacion","Fecha inicial","Fecha final","NOx"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-12-01","","107.9167"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-30","","55.2730392"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-29","","49.96475708"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-28","","39.76414875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-27","","62.27622"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-26","","54.02452317"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-25","","46.63138208"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-24","","54.374171"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-23","","52.19435167"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-22","","49.06935917"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-21","","42.59178625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-20","","56.86699118"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-19","","24.01742713"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-18","","40.66109479"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-17","","31.24749754"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-16","","31.74263625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-15","","28.6673095"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-14","","30.40540133"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-13","","37.84951417"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-12","","37.89812042"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-11","","28.91657896"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-10","","26.23350333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-09","","36.26475708"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-08","","43.36006625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-07","","49.58061375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-06","","44.52494958"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-05","","41.89547887"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-04","","18.81584679"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-03","","24.10638254"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-02","","30.12818671"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-11-01","","30.47037612"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-31","","43.4068375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-30","","61.93365882"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-29","","61.07693977"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-28","","40.11839125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-27","","22.69763246"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-26","","37.806095"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-25","","51.46616667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-24","","47.39288083"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-23","","59.12744667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-22","","40.38941971"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-21","","44.69189696"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-20","","19.81328442"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-19","","68.89263792"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-18","","57.10397417"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-17","","56.7542425"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-16","","37.45697667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-15","","69.78672292"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-14","","47.35552125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-13","","27.418096"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-12","","42.194725"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-11","","28.91480695"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-10","","30.34362125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-09","","33.57444667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-08","","36.68550117"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-07","","34.5774525"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-06","","27.36437279"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-05","","48.091695"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-04","","37.18462554"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-03","","65.12008125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-02","","44.692895"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-10-01","","63.54544712"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-30","","68.73463208"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-29","","45.94115046"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-28","","47.55517208"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-27","","60.17869476"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-26","","77.27525125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-25","","35.14983796"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-24","","39.35813467"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-23","","36.61175958"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-22","","26.62890721"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-21","","34.88994875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-20","","39.19151875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-19","","29.68328854"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-18","","42.52008522"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-17","","41.63030538"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-16","","39.93461167"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-15","","22.82343846"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-14","","49.31392125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-13","","62.62017708"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-12","","58.99077333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-11","","46.32837042"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-10","","44.16205375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-09","","46.848705"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-08","","31.72482654"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-07","","66.04155208"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-06","","79.3533495"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-05","","54.70900417"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-04","","59.31727125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-03","","51.85483917"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-02","","29.42102208"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-09-01","","16.42427842"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-31","","32.17013583"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-30","","39.14534571"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-29","","46.1382175"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-28","","47.89133417"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-27","","54.51061458"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-26","","54.1791825"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-25","","37.78823958"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-24","","49.06582542"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-23","","55.71380583"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-22","","53.39426667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-21","","47.29359"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-20","","56.4230225"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-19","","41.08952071"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-17","","48.11697583"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-16","","57.00542292"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-15","","53.20196958"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-14","","49.08001875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-13","","61.333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-12","","71.47000875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-11","","46.41017958"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-10","","71.03666875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-09","","49.32581"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-08","","63.37708917"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-07","","42.774865"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-06","","56.75301"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-05","","55.21053458"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-04","","39.1453025"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-03","","50.34095708"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-02","","55.35527478"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-08-01","","48.5586425"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-31","","43.89889318"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-30","","45.4114975"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-29","","48.57975125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-28","","39.04869083"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-27","","46.42804167"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-26","","60.66182714"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-23","","105.51138333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2013-07-22","","25.925565"
