"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","13.78264927"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","26.82956993"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","29.12667814"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","20.37968246"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","31.50553398"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","33.75359361"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","30.45098964"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","31.07227157"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","27.82689093"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","28.19475524"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","29.77248437"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","30.19757201"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","27.83283621"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","34.88171081"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","38.82194625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","47.50354383"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","40.75119016"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","37.91454764"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","41.78938498"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","32.56007832"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","25.75867607"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","23.44521833"
