"Estacion","Fecha inicial","Fecha final","PM2.5"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","28.875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","26.66666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","21.58333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","23.20833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","29.45833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","27.79166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","27.83333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","20.72727273"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","19.41666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","18.41666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","24.20833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","40.45833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","32.91666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","32.33333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","29.875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","29.41666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","28.14285714"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","34.08333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","39.28571429"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","28.95833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","24.75"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","20.95833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-03","","15.56521739"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-02","","13.60869565"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-01","","21.69565217"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-31","","26.83333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-30","","27.29166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-29","","19.26086957"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-28","","12.70833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-27","","16.45833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-26","","9.33333333"
