"Estacion","Fecha inicial","Fecha final","RGlobal"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","25.79"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","144.63541667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","148.56454545"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","132.95130435"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","138.98826087"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","131.02666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","185.51041667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","175.18904762"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","165.27208333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","168.9473913"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","146.39458333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","138.36416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","102.87952381"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","170.23238095"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","191.24318182"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","187.44181818"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","182.0473913"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","196.24958333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","172.27833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","179.38363636"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","197.03434783"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","207.27708333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-03","","205.57652174"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-02","","175.90708333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-01","","221.2725"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-31","","173.63"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-30","","192.49391304"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-29","","188.65043478"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-28","","157.86708333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-27","","200.36958333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-26","","178.30083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-25","","195.22304348"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-24","","159.28083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-23","","164.65791667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-22","","80.435"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-21","","161.08666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-20","","55.05791667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-19","","165.36375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-18","","179.51541667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-17","","163.20291667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-16","","141.81956522"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-15","","98.5825"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-14","","166.6773913"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-13","","178.48333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-12","","174.83625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-11","","211.62416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-10","","209.70916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-09","","190.94875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-08","","197.96458333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-07","","215.46583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-06","","197.35625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-05","","204.095"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-04","","212.695"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-03","","202.59541667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-02","","179.06916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-01","","150.21666667"
