"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-25","","20.8375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-24","","23.05"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-23","","22.59583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-22","","21.48333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-21","","21.60833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-20","","23.77083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-19","","25.35416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-18","","25.88333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-17","","24.81666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-16","","24.60416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-15","","23.36666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-14","","23.47083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-13","","24.05833333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-12","","24.6125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-11","","25.0375"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-10","","23.80416667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-09","","22.92083333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-08","","23.675"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-07","","22.3125"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-06","","23.57916667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-05","","23.38333333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-04","","24.34166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-03","","24.31666667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-02","","22.19166667"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-02-01","","24.875"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-31","","24.44583333"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-30","","22.5625"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-29","","22.35"
"UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR","2020-01-28","","21.1875"
