"Estacion","Fecha inicial","Fecha final","PM10"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-30","","76.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-27","","71.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-24","","45.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-21","","38.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-18","","48.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-15","","89.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-12","","95.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-09","","115.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-06","","55.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-03","","72.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-29","","66.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-26","","64.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-23","","44.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-20","","45.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-17","","35.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-14","","36.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-11","","44.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-08","","47.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-05","","52.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-02","","58.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-30","","47.7"
