"Estacion","Fecha inicial","Fecha final","PM2.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-29","","30.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-26","","26.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-23","","17.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-20","","22.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-17","","20.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-14","","19.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-11","","28.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-05","","36.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-04-02","","42.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-30","","62.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-27","","61.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-24","","37.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-21","","28.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-18","","34.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-15","","72.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-12","","74.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-09","","84.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-06","","38.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-03-03","","49.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-29","","40.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-26","","40.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-23","","28.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-20","","32.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-17","","22.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-14","","26.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-11","","26.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-08","","31.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-05","","32.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-02-02","","38.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-30","","30.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-27","","38.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-24","","19.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-21","","33.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-18","","24.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-15","","30.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-12","","32.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-09","","22.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-06","","26.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-03","","15.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2016-01-01","","21.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-12-27","","25.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-12-25","","21.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-12-23","","17.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-12-21","","23.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-12-18","","17.6"
