"Estacion","Fecha inicial","Fecha final","PST"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2008-04-06","","194.69368686"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2008-04-03","","301.79593528"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2008-03-31","","376.32786075"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2008-03-28","","302.85184207"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-26","","165.52374185"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-23","","24.32307392"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-20","","203.74424617"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-17","","174.11647884"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-14","","183.86771285"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-11","","158.20389514"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-08","","126.0284894"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-05","","186.4224934"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-12-02","","93.65128413"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-29","","231.40659806"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-26","","185.05092404"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-23","","221.82808873"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-20","","186.43728842"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-17","","182.03721556"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-14","","175.13822154"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-11","","129.48490723"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-08","","210.82035098"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-05","","132.77439616"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-11-02","","216.20715639"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-30","","251.36489768"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-27","","167.64039944"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-24","","270.99241521"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-21","","133.98892481"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-18","","164.6238198"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-15","","134.28577426"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-12","","211.32891915"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-09","","200.01886831"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-06","","182.89808805"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-10-03","","187.54294465"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-30","","155.65351369"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-27","","259.43802139"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-24","","153.83506157"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-21","","168.37720756"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-18","","176.78841381"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-15","","205.338362"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-12","","162.98127035"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-09","","165.52581528"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-06","","196.29075936"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-09-03","","178.33941861"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-31","","236.76890351"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-28","","152.72351708"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-25","","126.60091398"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-22","","199.03551181"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-19","","107.33670763"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-16","","139.50596221"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-13","","123.41851394"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-10","","112.75684994"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-07","","61.16020605"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-04","","136.48034572"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-08-01","","124.00065606"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-07-29","","96.15987248"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-07-26","","173.15747723"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-07-23","","147.29264091"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-07-20","","125.42148897"
