"Estacion","Fecha inicial","Fecha final","SO2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-07-22","","2.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-07-16","","2.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-07-10","","2.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-06-28","","0.97366643"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-06-10","","0.56853467"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-05-23","","0.56190176"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-05-17","","0.56260502"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-05-11","","1.83190257"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-05-05","","1.86779163"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-04-29","","0.98218601"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-04-17","","1.15016139"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-03-24","","0.57070006"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-03-18","","1.56363319"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-03-12","","1.31131715"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-03-06","","0.71453503"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-02-10","","2.56800385"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-02-04","","0.57166775"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-01-17","","1.00265692"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-01-11","","0.98919279"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2010-01-05","","0.85918415"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-12-27","","0.73860292"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-12-21","","0.84941658"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-12-15","","0.98960807"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-12-09","","1.14479137"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-12-03","","1.43475218"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-11-27","","2.4483941"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-11-21","","0.72063435"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-11-15","","1.12709088"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-11-09","","2.14898637"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-11-03","","3.41408667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-10-28","","1.4310921"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-10-22","","1.66540283"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-10-16","","1.12202987"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-10-10","","2.19750249"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-10-04","","1.10471026"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-09-28","","2.9365144"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-09-22","","3.15339205"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-09-16","","2.8736083"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-09-10","","0.54222137"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-09-04","","1.08027893"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-08-05","","1.05200408"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-07-24","","0.54198926"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-07-18","","0.96556664"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-07-06","","2.48094902"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-06-30","","0.92211614"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-06-12","","0.54291891"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-05-19","","0.99530053"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-05-13","","0.79612596"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-05-07","","0.81602054"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-04-25","","0.6809201"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-04-13","","1.84654046"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-04-01","","2.28111979"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-03-26","","0.95022703"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-03-20","","1.77625358"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-03-14","","1.20459184"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-03-02","","0.79512329"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-02-24","","3.30092432"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-02-18","","0.95186182"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-01-31","","0.68503975"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2009-01-13","","1.09428428"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2008-12-20","","0.80698068"
