"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-28","","1.545"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-27","","1.195"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-26","","0.69090909"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-25","","0.60833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-24","","0.50454545"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-23","","1.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-22","","1.04545455"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-21","","0.87916667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-20","","0.875"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-19","","0.8826087"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-18","","0.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-17","","0.82173913"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-16","","0.94285714"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-15","","0.695"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-14","","0.38571429"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-13","","0.50909091"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-12","","0.13809524"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-11","","0.61"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-10","","0.405"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-09","","0.85333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-08","","0.21666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-07","","0.99130435"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-06","","0.86"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-05","","0.17058824"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-04","","0.74210526"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-03","","0.38"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-02","","0.36666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-02-01","","0.43636364"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-31","","1.19166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-30","","1.44347826"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-29","","0.9826087"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-28","","1.0375"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-27","","1.26956522"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-26","","1.17222222"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-25","","0.96363636"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-24","","1.2625"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-23","","0.87727273"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-22","","0.76086957"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-21","","0.79130435"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-20","","0.7875"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-19","","0.9125"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-18","","1.2125"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-17","","0.94583333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2013-01-16","","1.11666667"
