"Estacion","Fecha inicial","Fecha final","DViento"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-31","","164.23"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-30","","156.62804167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-29","","154.62554167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-28","","190.92775"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-27","","215.602125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-26","","159.295125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-25","","183.688875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-24","","226.750375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-23","","225.751125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-22","","213.569125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-21","","190.39633333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-20","","189.55808333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-19","","177.60820833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-18","","150.20629167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-17","","207.714"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-16","","188.4485"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-15","","186.20395833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-14","","60.033875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-13","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-12","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-11","","184.13595833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-10","","254.22604167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-09","","123.2345"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-08","","25.855375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-07","","70.49991667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-06","","24.79795833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-05","","70.498625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-04","","3.769"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-03","","143.69779167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-02","","193.00479167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-01","","144.969375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-30","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-29","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-28","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-27","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-26","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-25","","0.0"
