"Estacion","Fecha inicial","Fecha final","HAire10"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-31","","75.23330435"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-30","","79.30045833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-29","","78.71254167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-28","","79.74975"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-27","","82.055375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-26","","81.516125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-25","","82.871"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-24","","88.26545833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-23","","89.822625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-22","","88.43695833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-21","","82.23816667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-20","","82.93883333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-19","","75.72779167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-18","","78.932375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-17","","86.90720833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-16","","81.84941667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-15","","85.25433333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-14","","26.48704167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-13","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-12","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-11","","80.80070833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-10","","85.834875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-09","","47.06775"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-08","","10.96020833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-07","","36.18383333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-06","","12.23270833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-05","","33.59754167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-04","","1.990125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-03","","69.95145833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-02","","74.4375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-01","","62.8045"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-30","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-29","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-28","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-27","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-26","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-25","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-24","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-23","","67.854375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-22","","68.90504167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-21","","68.11858333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-20","","75.29979167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-19","","83.61733333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-18","","90.86983333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-17","","75.22654167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-16","","31.88258333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-15","","62.80479167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-14","","69.682"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-13","","68.20995833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-12","","69.943125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-11","","67.59458333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-10","","65.40295833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-09","","58.87441667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-08","","53.54420833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-07","","73.28429167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-06","","63.05183333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-05","","61.773375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-04","","80.3575"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-03","","78.638375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-02","","33.25929167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-01","","50.41504167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-31","","80.22601449"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-30","","70.17377549"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-29","","60.76115679"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-28","","64.17652778"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-27","","66.59253113"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-26","","65.499375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-25","","76.22142857"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-24","","71.415"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-23","","77.70046717"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-22","","86.62319444"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-21","","74.04076389"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-20","","73.24270833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-19","","74.12951389"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-18","","79.99076885"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-17","","84.8170554"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-16","","83.87451389"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-15","","87.34623523"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-14","","74.52413195"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-13","","77.61926907"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-12","","72.6647619"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-11","","74.40417163"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-10","","87.35623107"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-09","","76.57199146"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-08","","83.04344679"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-07","","86.29338939"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-06","","70.34866307"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-05","","67.00291667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-04","","68.57916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-03","","72.320625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-02","","75.39756945"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-01","","69.30444444"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-31","","69.10622943"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-30","","74.01397661"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-29","","71.82021124"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-28","","69.99909483"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-27","","71.70145833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-26","","76.4813968"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-25","","71.02229167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-24","","65.57652778"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-23","","73.36223752"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-22","","72.13113218"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-21","","72.12208333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-20","","62.47194445"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-19","","61.44159722"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-18","","60.22965278"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-17","","61.23083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-07-16","","61.75925804"
