"Estacion","Fecha inicial","Fecha final","NO"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-01","","20.14528"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-30","","7.3695293"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-29","","8.99429258"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-28","","3.7727891"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-27","","14.24936984"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-26","","9.47613706"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-25","","9.86064555"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-24","","5.10575242"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-23","","5.22607629"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-22","","5.86161396"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-21","","5.79224582"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-20","","11.51164739"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-19","","5.9258719"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-18","","9.21008103"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-17","","1.17275255"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-16","","4.79074258"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-15","","4.72706378"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-14","","4.81432577"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-13","","5.64339966"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-12","","4.06422591"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-11","","1.53332129"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-10","","4.68113441"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-09","","4.60311335"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-08","","7.11253701"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-07","","8.71261449"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-06","","6.2127775"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-05","","14.12362735"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-04","","1.7911274"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-03","","2.7212258"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-02","","6.71708334"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-01","","6.88687236"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-31","","4.632947"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-30","","18.31389705"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-29","","10.29705865"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-28","","3.47833336"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-27","","1.62850535"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-26","","3.98665517"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-25","","4.23572584"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-24","","6.26537712"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-23","","6.58216165"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-22","","6.74473322"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-21","","6.27327193"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-20","","1.07513067"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-19","","7.30027754"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-18","","4.54122243"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-17","","4.07409703"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-16","","7.40551608"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-15","","12.5103354"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-14","","2.41464508"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-13","","2.13710522"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-12","","4.20789701"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-11","","2.41478069"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-10","","4.09230649"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-09","","2.62757824"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-08","","5.52692208"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-07","","4.50656953"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-06","","0.80598763"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-05","","5.83775444"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-04","","6.12799725"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-03","","3.66002774"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-02","","5.16503382"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-01","","17.11970243"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-30","","6.72683894"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-29","","2.45024153"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-28","","3.9966973"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-27","","9.01799488"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-26","","7.05361045"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-25","","2.27387346"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-24","","2.62893434"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-23","","3.41848562"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-20","","6.851898"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-09-19","","5.00442641"
