"Estacion","Fecha inicial","Fecha final","NO2"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-01","","7.815278"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-30","","7.00391688"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-29","","10.57732646"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-28","","5.6971992"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-27","","10.93860413"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-26","","10.60002704"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-25","","9.78689342"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-24","","11.23285858"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-23","","10.65453788"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-22","","5.6256595"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-21","","5.73698929"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-20","","9.38453149"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-19","","6.94652911"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-18","","12.60688617"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-17","","5.73717658"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-16","","7.48196579"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-15","","9.07680613"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-14","","7.68506929"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-13","","9.9442817"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-12","","7.882568"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-11","","4.92239589"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-10","","6.9101155"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-09","","6.86418996"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-08","","10.45617008"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-07","","14.2620595"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-06","","10.84592546"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-05","","9.586297"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-04","","5.39981886"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-03","","6.88925338"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-02","","10.77259596"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-01","","13.648845"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-31","","9.09481562"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-30","","13.38817224"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-29","","14.97942692"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-28","","6.65672989"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-27","","6.95914342"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-26","","10.43030083"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-25","","10.6980555"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-24","","12.31594932"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-23","","5.89366867"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-10-22","","13.82642136"
