"Estacion","Fecha inicial","Fecha final","NOx"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-16","","7.65391763"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-15","","7.10493081"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-14","","9.15614559"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-13","","5.41524743"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-12","","9.02480842"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-11","","15.055023"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-10","","7.43696119"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-09","","5.69399428"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-08","","10.60683387"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-07","","11.03826367"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-06","","4.26568883"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-05","","10.63434323"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-04","","7.30856109"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-03","","8.69059209"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-02","","7.02197512"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2014-07-01","","7.78781342"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-31","","3.480556"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-30","","5.75326181"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-29","","5.69530524"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-28","","5.19420263"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-27","","8.5504893"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-26","","7.56637699"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-25","","4.32947899"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-24","","13.36405112"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-23","","10.86234967"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-22","","9.17678242"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-21","","10.68812446"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-20","","15.00757542"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-19","","21.40653954"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-18","","16.68412318"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-17","","17.99763371"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-16","","11.64430558"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-15","","9.89096121"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-14","","12.22686617"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-13","","16.03979246"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-12","","14.92786971"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-11","","10.65446623"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-10","","15.23211633"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-09","","15.62829891"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-08","","7.44592617"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-07","","8.39128429"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-06","","15.13555541"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-05","","10.08285825"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-04","","11.73420092"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-03","","20.90413025"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-02","","16.87431713"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-12-01","","11.46090217"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-30","","13.67018515"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-29","","18.77377308"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-11-28","","9.41352998"
