"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-31","","21.78295652"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-30","","21.469125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-29","","22.074625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-28","","21.05808333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-27","","20.14154167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-26","","21.31104167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-25","","20.78116667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-24","","19.33795833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-23","","18.82066667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-22","","19.37354167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-21","","20.381375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-20","","20.26858333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-19","","21.34441667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-18","","21.26033333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-17","","19.03733333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-16","","19.64629167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-15","","19.69225"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-14","","6.97929167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-13","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-12","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-11","","18.42275"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-10","","18.934"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-09","","12.03145833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-08","","2.27270833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-07","","12.90454167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-06","","4.98708333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-05","","10.24575"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-04","","1.11304167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-03","","19.59316667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-02","","21.47358333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-01","","16.36529167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-30","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-29","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-28","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-27","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-26","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-25","","0.0"
