"Estacion","Fecha inicial","Fecha final","RGlobal"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-30","","152.72727273"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-29","","180.31666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-28","","179.10833333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-27","","138.17916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-26","","90.2"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-25","","197.44166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-24","","198.77916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-23","","181.91666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-22","","120.9875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-21","","171.5375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-20","","109.07916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-19","","170.81666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-18","","147.44166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-17","","134.29166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-16","","106.52916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-15","","83.94166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-14","","109.57083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-13","","95.9125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-12","","194.74166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-11","","141.23333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-10","","188.3625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-09","","197.20416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-08","","102.9625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-07","","99.87083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-06","","106.48333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-05","","115.89166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-04","","162.35833333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-03","","139.3625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-02","","111.6"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-05-01","","89.15"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-30","","132.57916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-29","","116.6125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-28","","128.28333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-27","","123.7375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-26","","143.46666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-25","","192.6"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-24","","183.1"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-23","","149.4375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-22","","96.4"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-21","","103.49166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-20","","124.73043478"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-19","","152.91304348"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-18","","208.9375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-17","","116.74166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-16","","161.3125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-15","","207.83333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-14","","207.31666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-13","","205.48333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-12","","221.1625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-11","","174.06666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-10","","85.4125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-09","","133.32916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-08","","145.0375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-07","","207.8"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-06","","101.67083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-05","","130.0625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-04","","132.52916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-03","","132.7625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-02","","136.78695652"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-04-01","","179.59166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-31","","136.45833333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-30","","132.08333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-29","","133.24583333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-28","","101.2625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-27","","165.25416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-03-26","","179.9875"
