"Estacion","Fecha inicial","Fecha final","TAire2"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-28","","21.91666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-27","","22.45"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-26","","22.5375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-25","","22.3625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-24","","22.225"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-23","","23.11666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-22","","21.92083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-21","","21.65416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-20","","22.57083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-19","","22.325"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-18","","21.42083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-17","","19.21666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-16","","21.80416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-15","","21.0125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-14","","20.64583333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-13","","20.67083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-12","","20.7875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-11","","20.42083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-10","","19.76666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-09","","21.00416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-08","","20.37083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-07","","21.54583333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-06","","20.17916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-05","","20.14166667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-04","","20.30833333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-03","","19.2"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-02","","18.4375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-02-01","","19.96666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-31","","22.15416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-30","","22.68333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-29","","22.75"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-28","","23.68333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-27","","22.5125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-26","","20.6375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-25","","20.375"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-24","","21.46666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-23","","21.8"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-22","","22.27916667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-21","","21.91666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-20","","20.86666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-19","","21.1875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-18","","21.48333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-17","","21.475"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-16","","20.45"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-15","","20.20416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-14","","21.2625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-13","","21.1875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-12","","22.45416667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-11","","22.97083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-10","","22.7"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-09","","22.46666667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-08","","22.12083333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-07","","22.33333333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-06","","22.3875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-05","","22.6625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-04","","22.2125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-03","","22.09583333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-02","","22.325"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2013-01-01","","21.575"
