"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-31","","0.86052174"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-30","","0.7315"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-29","","0.91016667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-28","","0.87841667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-27","","0.66204167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-26","","0.56229167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-25","","0.87304167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-24","","0.89191667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-23","","0.647"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-22","","0.87316667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-21","","0.642625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-20","","0.639875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-19","","0.764125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-18","","1.02775"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-17","","0.83304167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-16","","1.106625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-15","","0.57533333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-14","","0.21770833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-13","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-12","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-11","","0.73908333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-10","","0.74679167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-09","","0.727875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-08","","0.04804167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-07","","0.70170833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-06","","0.22108333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-05","","0.587"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-04","","0.03966667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-03","","0.984"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-02","","0.75504167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-10-01","","0.3865"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-30","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-29","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-28","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-27","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-26","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-25","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-24","","0.0"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-23","","1.10220833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-22","","1.36554167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-21","","1.01095833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-20","","0.60141667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-19","","0.66808333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-18","","0.53870833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-17","","0.98320833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-16","","0.51095833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-15","","0.94825"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-14","","0.97458333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-13","","1.004125"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-12","","1.02708333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-11","","0.83320833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-10","","0.91808333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-09","","0.78475"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-08","","0.77029167"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-07","","0.39975"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-06","","0.63320833"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-05","","0.55433333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-04","","0.65875"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-03","","0.702625"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-02","","0.72583333"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-09-01","","0.62466667"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-31","","0.75598994"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-30","","1.27733297"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-29","","1.06673608"
"UNIVERSIDAD SAN BUENAVENTURA - BELLO","2025-08-28","","1.27168556"
