"Estacion","Fecha inicial","Fecha final","NO"
"Universidad Nacional de Colombia M2","2013-12-01","","65.01832"
"Universidad Nacional de Colombia M2","2013-11-30","","33.73626533"
"Universidad Nacional de Colombia M2","2013-11-29","","36.68091158"
"Universidad Nacional de Colombia M2","2013-11-28","","21.90170854"
"Universidad Nacional de Colombia M2","2013-11-27","","42.79864108"
"Universidad Nacional de Colombia M2","2013-11-26","","46.17242761"
"Universidad Nacional de Colombia M2","2013-11-25","","30.33424928"
"Universidad Nacional de Colombia M2","2013-11-24","","51.02767888"
"Universidad Nacional de Colombia M2","2013-11-23","","38.63112324"
"Universidad Nacional de Colombia M2","2013-11-22","","46.18182733"
"Universidad Nacional de Colombia M2","2013-11-21","","26.27750528"
"Universidad Nacional de Colombia M2","2013-11-20","","49.47709618"
"Universidad Nacional de Colombia M2","2013-11-19","","28.56081121"
"Universidad Nacional de Colombia M2","2013-11-18","","27.26902966"
"Universidad Nacional de Colombia M2","2013-11-17","","20.09564575"
"Universidad Nacional de Colombia M2","2013-11-16","","17.39926728"
"Universidad Nacional de Colombia M2","2013-11-15","","21.36752325"
"Universidad Nacional de Colombia M2","2013-11-14","","22.96645506"
"Universidad Nacional de Colombia M2","2013-11-13","","25.76821353"
"Universidad Nacional de Colombia M2","2013-11-12","","25.78093468"
"Universidad Nacional de Colombia M2","2013-11-11","","20.32458269"
"Universidad Nacional de Colombia M2","2013-11-10","","20.8897381"
"Universidad Nacional de Colombia M2","2013-11-09","","30.57590646"
"Universidad Nacional de Colombia M2","2013-11-08","","32.54731325"
"Universidad Nacional de Colombia M2","2013-11-07","","40.81632405"
"Universidad Nacional de Colombia M2","2013-11-06","","43.28195158"
"Universidad Nacional de Colombia M2","2013-11-05","","41.81929562"
"Universidad Nacional de Colombia M2","2013-11-04","","17.81898695"
"Universidad Nacional de Colombia M2","2013-11-03","","14.33404489"
"Universidad Nacional de Colombia M2","2013-11-02","","24.26739917"
"Universidad Nacional de Colombia M2","2013-11-01","","28.39521555"
"Universidad Nacional de Colombia M2","2013-10-31","","37.33366864"
"Universidad Nacional de Colombia M2","2013-10-30","","37.29642835"
"Universidad Nacional de Colombia M2","2013-10-29","","37.37492538"
"Universidad Nacional de Colombia M2","2013-10-28","","16.15051762"
"Universidad Nacional de Colombia M2","2013-10-27","","11.62495007"
"Universidad Nacional de Colombia M2","2013-10-26","","17.90127699"
"Universidad Nacional de Colombia M2","2013-10-25","","25.563255"
"Universidad Nacional de Colombia M2","2013-10-24","","43.84760231"
"Universidad Nacional de Colombia M2","2013-10-23","","41.72751854"
"Universidad Nacional de Colombia M2","2013-10-22","","21.56041132"
"Universidad Nacional de Colombia M2","2013-10-21","","43.84399097"
"Universidad Nacional de Colombia M2","2013-10-20","","9.19450924"
"Universidad Nacional de Colombia M2","2013-10-19","","31.96734025"
"Universidad Nacional de Colombia M2","2013-10-18","","26.13541812"
