"Estacion","Fecha inicial","Fecha final","NO2"
"Universidad Nacional de Colombia M2","2013-12-01","","12.21001"
"Universidad Nacional de Colombia M2","2013-11-30","","17.6556768"
"Universidad Nacional de Colombia M2","2013-11-29","","22.81746042"
"Universidad Nacional de Colombia M2","2013-11-28","","11.66310475"
"Universidad Nacional de Colombia M2","2013-11-27","","23.936712"
"Universidad Nacional de Colombia M2","2013-11-26","","24.5599315"
"Universidad Nacional de Colombia M2","2013-11-25","","18.136956"
"Universidad Nacional de Colombia M2","2013-11-24","","20.96052167"
"Universidad Nacional de Colombia M2","2013-11-23","","21.76095598"
"Universidad Nacional de Colombia M2","2013-11-22","","17.08129833"
"Universidad Nacional de Colombia M2","2013-11-21","","12.93092234"
"Universidad Nacional de Colombia M2","2013-11-20","","22.70299113"
"Universidad Nacional de Colombia M2","2013-11-19","","16.95411083"
"Universidad Nacional de Colombia M2","2013-11-18","","18.3277365"
"Universidad Nacional de Colombia M2","2013-11-17","","16.34361046"
"Universidad Nacional de Colombia M2","2013-11-16","","14.53754554"
"Universidad Nacional de Colombia M2","2013-11-15","","16.0383595"
"Universidad Nacional de Colombia M2","2013-11-14","","14.57570142"
"Universidad Nacional de Colombia M2","2013-11-13","","17.831704"
"Universidad Nacional de Colombia M2","2013-11-12","","17.79354854"
"Universidad Nacional de Colombia M2","2013-11-11","","10.95085383"
"Universidad Nacional de Colombia M2","2013-11-10","","14.32132742"
"Universidad Nacional de Colombia M2","2013-11-09","","15.79670325"
"Universidad Nacional de Colombia M2","2013-11-08","","20.03205154"
"Universidad Nacional de Colombia M2","2013-11-07","","25.13227571"
"Universidad Nacional de Colombia M2","2013-11-06","","22.49949167"
"Universidad Nacional de Colombia M2","2013-11-05","","21.5583025"
"Universidad Nacional de Colombia M2","2013-11-04","","15.35154708"
"Universidad Nacional de Colombia M2","2013-11-03","","12.65516829"
"Universidad Nacional de Colombia M2","2013-11-02","","18.8873625"
"Universidad Nacional de Colombia M2","2013-11-01","","20.0244208"
