"Estacion","Fecha inicial","Fecha final","NOx"
"Universidad Nacional de Colombia M2","2013-12-01","","76.61783"
"Universidad Nacional de Colombia M2","2013-11-30","","51.4529924"
"Universidad Nacional de Colombia M2","2013-11-29","","59.71459208"
"Universidad Nacional de Colombia M2","2013-11-28","","33.95909988"
"Universidad Nacional de Colombia M2","2013-11-27","","67.078755"
"Universidad Nacional de Colombia M2","2013-11-26","","69.12647767"
"Universidad Nacional de Colombia M2","2013-11-25","","48.86548625"
"Universidad Nacional de Colombia M2","2013-11-24","","72.30616833"
"Universidad Nacional de Colombia M2","2013-11-23","","60.79907778"
"Universidad Nacional de Colombia M2","2013-11-22","","63.55565833"
"Universidad Nacional de Colombia M2","2013-11-21","","39.5981083"
"Universidad Nacional de Colombia M2","2013-11-20","","70.30932675"
"Universidad Nacional de Colombia M2","2013-11-19","","44.51567188"
"Universidad Nacional de Colombia M2","2013-11-18","","45.92745825"
"Universidad Nacional de Colombia M2","2013-11-17","","36.83353771"
"Universidad Nacional de Colombia M2","2013-11-16","","32.47100208"
"Universidad Nacional de Colombia M2","2013-11-15","","37.1769445"
"Universidad Nacional de Colombia M2","2013-11-14","","35.10378596"
"Universidad Nacional de Colombia M2","2013-11-13","","43.80342042"
"Universidad Nacional de Colombia M2","2013-11-12","","43.67623067"
"Universidad Nacional de Colombia M2","2013-11-11","","31.32631275"
"Universidad Nacional de Colombia M2","2013-11-10","","34.35337892"
"Universidad Nacional de Colombia M2","2013-11-09","","46.29629958"
"Universidad Nacional de Colombia M2","2013-11-08","","52.52849167"
"Universidad Nacional de Colombia M2","2013-11-07","","65.87592905"
"Universidad Nacional de Colombia M2","2013-11-06","","65.98494333"
"Universidad Nacional de Colombia M2","2013-11-05","","63.4539075"
"Universidad Nacional de Colombia M2","2013-11-04","","33.18325292"
"Universidad Nacional de Colombia M2","2013-11-03","","27.090965"
"Universidad Nacional de Colombia M2","2013-11-02","","46.56338917"
"Universidad Nacional de Colombia M2","2013-11-01","","53.2722856"
"Universidad Nacional de Colombia M2","2013-10-31","","61.68599704"
"Universidad Nacional de Colombia M2","2013-10-30","","68.42828237"
"Universidad Nacional de Colombia M2","2013-10-29","","64.11528458"
"Universidad Nacional de Colombia M2","2013-10-28","","30.32153308"
"Universidad Nacional de Colombia M2","2013-10-27","","27.8159345"
"Universidad Nacional de Colombia M2","2013-10-26","","37.69841292"
"Universidad Nacional de Colombia M2","2013-10-25","","44.45207667"
"Universidad Nacional de Colombia M2","2013-10-24","","70.47301"
"Universidad Nacional de Colombia M2","2013-10-23","","60.49265435"
"Universidad Nacional de Colombia M2","2013-10-22","","42.90039104"
"Universidad Nacional de Colombia M2","2013-10-21","","72.78947646"
"Universidad Nacional de Colombia M2","2013-10-20","","21.77082152"
"Universidad Nacional de Colombia M2","2013-10-19","","58.82427333"
"Universidad Nacional de Colombia M2","2013-10-18","","46.06903419"
"Universidad Nacional de Colombia M2","2013-10-17","","59.51109563"
"Universidad Nacional de Colombia M2","2013-10-16","","35.51699043"
"Universidad Nacional de Colombia M2","2013-10-15","","86.31455934"
"Universidad Nacional de Colombia M2","2013-10-14","","42.90038792"
"Universidad Nacional de Colombia M2","2013-10-13","","39.74613375"
"Universidad Nacional de Colombia M2","2013-10-12","","52.73199083"
"Universidad Nacional de Colombia M2","2013-10-11","","45.31695375"
"Universidad Nacional de Colombia M2","2013-10-10","","36.66819088"
"Universidad Nacional de Colombia M2","2013-10-09","","32.560035"
"Universidad Nacional de Colombia M2","2013-10-08","","39.40272788"
"Universidad Nacional de Colombia M2","2013-10-07","","32.92887625"
"Universidad Nacional de Colombia M2","2013-10-06","","26.39143196"
"Universidad Nacional de Colombia M2","2013-10-05","","48.61111583"
"Universidad Nacional de Colombia M2","2013-10-04","","46.81776754"
"Universidad Nacional de Colombia M2","2013-10-03","","76.57967292"
"Universidad Nacional de Colombia M2","2013-10-02","","65.78144292"
"Universidad Nacional de Colombia M2","2013-10-01","","66.14056"
"Universidad Nacional de Colombia M2","2013-09-30","","100.54182167"
"Universidad Nacional de Colombia M2","2013-09-29","","51.80352125"
"Universidad Nacional de Colombia M2","2013-09-28","","56.35684292"
"Universidad Nacional de Colombia M2","2013-09-27","","92.57987667"
"Universidad Nacional de Colombia M2","2013-09-26","","65.959509"
"Universidad Nacional de Colombia M2","2013-09-25","","48.58567558"
"Universidad Nacional de Colombia M2","2013-09-24","","41.11976342"
"Universidad Nacional de Colombia M2","2013-09-23","","30.39784121"
"Universidad Nacional de Colombia M2","2013-09-22","","27.45981042"
"Universidad Nacional de Colombia M2","2013-09-21","","30.23250167"
"Universidad Nacional de Colombia M2","2013-09-20","","41.33597917"
"Universidad Nacional de Colombia M2","2013-09-19","","27.87952842"
"Universidad Nacional de Colombia M2","2013-09-18","","51.86711458"
"Universidad Nacional de Colombia M2","2013-09-17","","38.75407183"
"Universidad Nacional de Colombia M2","2013-09-16","","75.23148333"
"Universidad Nacional de Colombia M2","2013-09-15","","24.95421154"
"Universidad Nacional de Colombia M2","2013-09-14","","43.26923083"
"Universidad Nacional de Colombia M2","2013-09-13","","45.46957958"
"Universidad Nacional de Colombia M2","2013-09-12","","65.450755"
"Universidad Nacional de Colombia M2","2013-09-11","","56.35683958"
"Universidad Nacional de Colombia M2","2013-09-10","","47.56817617"
"Universidad Nacional de Colombia M2","2013-09-09","","36.37566225"
"Universidad Nacional de Colombia M2","2013-09-08","","22.95736704"
"Universidad Nacional de Colombia M2","2013-09-07","","69.30454208"
"Universidad Nacional de Colombia M2","2013-09-06","","84.8850275"
"Universidad Nacional de Colombia M2","2013-09-05","","62.84341042"
"Universidad Nacional de Colombia M2","2013-09-04","","58.50631208"
"Universidad Nacional de Colombia M2","2013-09-03","","63.51750042"
"Universidad Nacional de Colombia M2","2013-09-02","","25.55199554"
"Universidad Nacional de Colombia M2","2013-09-01","","11.98107396"
"Universidad Nacional de Colombia M2","2013-08-31","","31.1753467"
"Universidad Nacional de Colombia M2","2013-08-30","","26.18793321"
"Universidad Nacional de Colombia M2","2013-08-29","","54.99593475"
"Universidad Nacional de Colombia M2","2013-08-28","","31.28815771"
"Universidad Nacional de Colombia M2","2013-08-27","","38.06725733"
"Universidad Nacional de Colombia M2","2013-08-26","","31.88593975"
"Universidad Nacional de Colombia M2","2013-08-25","","21.30392746"
"Universidad Nacional de Colombia M2","2013-08-24","","31.80962463"
"Universidad Nacional de Colombia M2","2013-08-23","","35.49806721"
"Universidad Nacional de Colombia M2","2013-08-22","","35.18009538"
"Universidad Nacional de Colombia M2","2013-08-21","","31.5628828"
"Universidad Nacional de Colombia M2","2013-08-20","","41.46316788"
"Universidad Nacional de Colombia M2","2013-08-19","","28.31196592"
"Universidad Nacional de Colombia M2","2013-08-18","","35.29456792"
"Universidad Nacional de Colombia M2","2013-08-17","","35.42175558"
"Universidad Nacional de Colombia M2","2013-08-16","","48.30586154"
"Universidad Nacional de Colombia M2","2013-08-15","","36.08312925"
"Universidad Nacional de Colombia M2","2013-08-14","","39.68254317"
"Universidad Nacional de Colombia M2","2013-08-13","","84.96576483"
"Universidad Nacional de Colombia M2","2013-08-12","","49.37423917"
"Universidad Nacional de Colombia M2","2013-08-11","","56.78927792"
"Universidad Nacional de Colombia M2","2013-08-10","","72.47151058"
"Universidad Nacional de Colombia M2","2013-08-09","","38.10541333"
"Universidad Nacional de Colombia M2","2013-08-08","","48.16595625"
"Universidad Nacional de Colombia M2","2013-08-07","","28.7189665"
"Universidad Nacional de Colombia M2","2013-08-06","","43.54904447"
"Universidad Nacional de Colombia M2","2013-08-05","","36.37565858"
"Universidad Nacional de Colombia M2","2013-08-04","","27.21815254"
"Universidad Nacional de Colombia M2","2013-08-03","","50.08648483"
"Universidad Nacional de Colombia M2","2013-08-02","","36.42653671"
"Universidad Nacional de Colombia M2","2013-08-01","","49.34880354"
"Universidad Nacional de Colombia M2","2013-07-31","","36.86484406"
"Universidad Nacional de Colombia M2","2013-07-30","","51.08297578"
"Universidad Nacional de Colombia M2","2013-07-29","","33.71744229"
"Universidad Nacional de Colombia M2","2013-07-28","","28.42990409"
"Universidad Nacional de Colombia M2","2013-07-27","","39.13563279"
"Universidad Nacional de Colombia M2","2013-07-26","","54.08239739"
"Universidad Nacional de Colombia M2","2013-07-25","","44.58042309"
"Universidad Nacional de Colombia M2","2013-07-24","","40.42022833"
"Universidad Nacional de Colombia M2","2013-07-23","","40.20978841"
"Universidad Nacional de Colombia M2","2013-07-22","","33.25900926"
"Universidad Nacional de Colombia M2","2013-07-21","","25.7046195"
"Universidad Nacional de Colombia M2","2013-07-20","","17.09401738"
"Universidad Nacional de Colombia M2","2013-07-19","","36.74450771"
"Universidad Nacional de Colombia M2","2013-07-18","","38.34706938"
"Universidad Nacional de Colombia M2","2013-07-17","","43.46001113"
"Universidad Nacional de Colombia M2","2013-07-16","","53.31705446"
"Universidad Nacional de Colombia M2","2013-07-15","","38.53785046"
"Universidad Nacional de Colombia M2","2013-07-14","","24.34371275"
"Universidad Nacional de Colombia M2","2013-07-13","","38.37250708"
"Universidad Nacional de Colombia M2","2013-07-12","","33.9082225"
"Universidad Nacional de Colombia M2","2013-07-11","","42.87495154"
"Universidad Nacional de Colombia M2","2013-07-10","","57.66687167"
"Universidad Nacional de Colombia M2","2013-07-09","","47.02126688"
"Universidad Nacional de Colombia M2","2013-07-08","","40.82723125"
"Universidad Nacional de Colombia M2","2013-07-07","","30.90659721"
"Universidad Nacional de Colombia M2","2013-07-06","","47.54861077"
"Universidad Nacional de Colombia M2","2013-05-14","","41.58187444"
"Universidad Nacional de Colombia M2","2013-05-13","","29.57112454"
"Universidad Nacional de Colombia M2","2013-05-12","","31.35175042"
