"Estacion","Fecha inicial","Fecha final","PM10"
"Universidad Nacional de Colombia M2","2013-11-30","","35.06105423"
"Universidad Nacional de Colombia M2","2013-11-29","","72.07774107"
"Universidad Nacional de Colombia M2","2013-11-28","","41.51200807"
"Universidad Nacional de Colombia M2","2013-11-27","","75.51689315"
"Universidad Nacional de Colombia M2","2013-11-26","","69.16414816"
"Universidad Nacional de Colombia M2","2013-11-25","","58.10745088"
"Universidad Nacional de Colombia M2","2013-11-24","","69.0862867"
"Universidad Nacional de Colombia M2","2013-11-23","","68.91331232"
"Universidad Nacional de Colombia M2","2013-11-22","","67.84493653"
"Universidad Nacional de Colombia M2","2013-11-21","","51.98519168"
"Universidad Nacional de Colombia M2","2013-11-20","","68.98453871"
"Universidad Nacional de Colombia M2","2013-11-19","","50.3901675"
"Universidad Nacional de Colombia M2","2013-11-18","","68.96418667"
"Universidad Nacional de Colombia M2","2013-11-17","","52.66382011"
"Universidad Nacional de Colombia M2","2013-11-16","","53.7118458"
"Universidad Nacional de Colombia M2","2013-11-15","","56.08262396"
"Universidad Nacional de Colombia M2","2013-11-14","","48.86367474"
"Universidad Nacional de Colombia M2","2013-11-13","","59.77615213"
"Universidad Nacional de Colombia M2","2013-11-12","","60.73260379"
"Universidad Nacional de Colombia M2","2013-11-11","","43.92348568"
"Universidad Nacional de Colombia M2","2013-11-10","","48.04436549"
"Universidad Nacional de Colombia M2","2013-11-09","","59.96947805"
"Universidad Nacional de Colombia M2","2013-11-08","","67.89581092"
"Universidad Nacional de Colombia M2","2013-11-07","","75.85311226"
"Universidad Nacional de Colombia M2","2013-11-06","","70.52096462"
"Universidad Nacional de Colombia M2","2013-11-05","","58.66353811"
"Universidad Nacional de Colombia M2","2013-11-04","","39.63980617"
"Universidad Nacional de Colombia M2","2013-11-03","","43.98453657"
"Universidad Nacional de Colombia M2","2013-11-02","","61.70011379"
"Universidad Nacional de Colombia M2","2013-11-01","","62.11640616"
"Universidad Nacional de Colombia M2","2013-10-31","","57.53765035"
"Universidad Nacional de Colombia M2","2013-10-30","","88.22435174"
"Universidad Nacional de Colombia M2","2013-10-29","","75.7305692"
"Universidad Nacional de Colombia M2","2013-10-28","","42.81440926"
"Universidad Nacional de Colombia M2","2013-10-27","","34.38950046"
"Universidad Nacional de Colombia M2","2013-10-26","","79.81074905"
"Universidad Nacional de Colombia M2","2013-10-25","","71.86097012"
"Universidad Nacional de Colombia M2","2013-10-24","","71.66667099"
"Universidad Nacional de Colombia M2","2013-10-23","","63.54090738"
"Universidad Nacional de Colombia M2","2013-10-22","","59.65405337"
"Universidad Nacional de Colombia M2","2013-10-21","","80.78199985"
"Universidad Nacional de Colombia M2","2013-10-20","","37.84966108"
"Universidad Nacional de Colombia M2","2013-10-19","","75.45584432"
"Universidad Nacional de Colombia M2","2013-10-18","","60.08515143"
"Universidad Nacional de Colombia M2","2013-10-17","","80.09565"
"Universidad Nacional de Colombia M2","2013-10-16","","45.27499236"
"Universidad Nacional de Colombia M2","2013-10-15","","48.90811058"
"Universidad Nacional de Colombia M2","2013-10-14","","53.13187218"
"Universidad Nacional de Colombia M2","2013-10-13","","42.80885965"
"Universidad Nacional de Colombia M2","2013-10-12","","62.78308935"
"Universidad Nacional de Colombia M2","2013-10-11","","57.47660009"
"Universidad Nacional de Colombia M2","2013-10-10","","44.98168739"
"Universidad Nacional de Colombia M2","2013-10-09","","44.95647165"
"Universidad Nacional de Colombia M2","2013-10-08","","44.91046154"
"Universidad Nacional de Colombia M2","2013-10-07","","54.97354778"
"Universidad Nacional de Colombia M2","2013-10-06","","41.82743367"
"Universidad Nacional de Colombia M2","2013-10-05","","63.08303094"
"Universidad Nacional de Colombia M2","2013-10-04","","56.09280014"
"Universidad Nacional de Colombia M2","2013-10-03","","87.87953154"
"Universidad Nacional de Colombia M2","2013-10-02","","75.99511925"
"Universidad Nacional de Colombia M2","2013-10-01","","69.04475527"
"Universidad Nacional de Colombia M2","2013-09-30","","93.63858747"
"Universidad Nacional de Colombia M2","2013-09-29","","49.60114264"
"Universidad Nacional de Colombia M2","2013-09-28","","66.26780995"
"Universidad Nacional de Colombia M2","2013-09-27","","86.74603825"
"Universidad Nacional de Colombia M2","2013-09-26","","83.14815307"
"Universidad Nacional de Colombia M2","2013-09-25","","58.2494584"
"Universidad Nacional de Colombia M2","2013-09-24","","53.96622213"
"Universidad Nacional de Colombia M2","2013-09-23","","50.41381629"
"Universidad Nacional de Colombia M2","2013-09-22","","45.99918828"
"Universidad Nacional de Colombia M2","2013-09-21","","48.2275153"
"Universidad Nacional de Colombia M2","2013-09-20","","54.51567245"
"Universidad Nacional de Colombia M2","2013-09-19","","38.0321552"
"Universidad Nacional de Colombia M2","2013-09-18","","67.45828581"
"Universidad Nacional de Colombia M2","2013-09-17","","55.37037289"
"Universidad Nacional de Colombia M2","2013-09-16","","54.15954733"
"Universidad Nacional de Colombia M2","2013-09-15","","35.89540295"
"Universidad Nacional de Colombia M2","2013-09-14","","55.23809799"
"Universidad Nacional de Colombia M2","2013-09-13","","60.0000027"
"Universidad Nacional de Colombia M2","2013-09-12","","62.12481117"
"Universidad Nacional de Colombia M2","2013-09-11","","70.52096407"
"Universidad Nacional de Colombia M2","2013-09-10","","62.35043144"
"Universidad Nacional de Colombia M2","2013-09-09","","47.09808886"
"Universidad Nacional de Colombia M2","2013-09-08","","43.62841018"
"Universidad Nacional de Colombia M2","2013-09-07","","55.8624734"
"Universidad Nacional de Colombia M2","2013-09-06","","78.3542693"
"Universidad Nacional de Colombia M2","2013-09-05","","87.26903009"
"Universidad Nacional de Colombia M2","2013-09-04","","79.75987315"
"Universidad Nacional de Colombia M2","2013-09-03","","70.39886403"
"Universidad Nacional de Colombia M2","2013-09-02","","42.37688466"
"Universidad Nacional de Colombia M2","2013-09-01","","34.87790183"
"Universidad Nacional de Colombia M2","2013-08-31","","64.08902998"
"Universidad Nacional de Colombia M2","2013-08-30","","56.05209994"
"Universidad Nacional de Colombia M2","2013-08-29","","72.60684117"
"Universidad Nacional de Colombia M2","2013-08-28","","53.55656723"
"Universidad Nacional de Colombia M2","2013-08-27","","53.10134641"
"Universidad Nacional de Colombia M2","2013-08-26","","232.58416251"
"Universidad Nacional de Colombia M2","2013-08-25","","39.3956066"
"Universidad Nacional de Colombia M2","2013-08-24","","38.03585503"
"Universidad Nacional de Colombia M2","2013-08-23","","49.37331034"
"Universidad Nacional de Colombia M2","2013-08-22","","54.82003734"
"Universidad Nacional de Colombia M2","2013-08-21","","43.06878507"
"Universidad Nacional de Colombia M2","2013-08-20","","50.9951179"
"Universidad Nacional de Colombia M2","2013-08-19","","35.33710447"
"Universidad Nacional de Colombia M2","2013-08-18","","37.64550495"
"Universidad Nacional de Colombia M2","2013-08-17","","44.48311194"
"Universidad Nacional de Colombia M2","2013-08-16","","617.74161794"
"Universidad Nacional de Colombia M2","2013-08-15","","102.2418253"
"Universidad Nacional de Colombia M2","2013-08-14","","52.8266197"
"Universidad Nacional de Colombia M2","2013-08-13","","74.02691874"
"Universidad Nacional de Colombia M2","2013-08-12","","58.87996982"
"Universidad Nacional de Colombia M2","2013-08-10","","65.26048447"
"Universidad Nacional de Colombia M2","2013-08-09","","44.26943604"
"Universidad Nacional de Colombia M2","2013-08-08","","60.36630376"
"Universidad Nacional de Colombia M2","2013-08-07","","56.82539988"
"Universidad Nacional de Colombia M2","2013-08-06","","54.96868142"
"Universidad Nacional de Colombia M2","2013-08-05","","46.49776375"
"Universidad Nacional de Colombia M2","2013-08-04","","44.29996173"
"Universidad Nacional de Colombia M2","2013-08-03","","56.92228334"
"Universidad Nacional de Colombia M2","2013-08-02","","47.1693143"
"Universidad Nacional de Colombia M2","2013-08-01","","32.30507687"
"Universidad Nacional de Colombia M2","2013-07-31","","51.52991692"
"Universidad Nacional de Colombia M2","2013-07-30","","47.54711748"
"Universidad Nacional de Colombia M2","2013-07-29","","54.23077202"
"Universidad Nacional de Colombia M2","2013-07-28","","45.67266386"
"Universidad Nacional de Colombia M2","2013-07-27","","58.536129"
"Universidad Nacional de Colombia M2","2013-07-26","","62.69815113"
"Universidad Nacional de Colombia M2","2013-07-25","","62.31158048"
"Universidad Nacional de Colombia M2","2013-07-24","","60.75295401"
"Universidad Nacional de Colombia M2","2013-07-23","","53.86447178"
"Universidad Nacional de Colombia M2","2013-07-22","","48.61947416"
"Universidad Nacional de Colombia M2","2013-07-21","","41.88848448"
"Universidad Nacional de Colombia M2","2013-07-20","","36.49572889"
"Universidad Nacional de Colombia M2","2013-07-19","","49.6316665"
"Universidad Nacional de Colombia M2","2013-07-18","","56.41839918"
"Universidad Nacional de Colombia M2","2013-07-17","","50.59829291"
"Universidad Nacional de Colombia M2","2013-07-16","","73.68716227"
"Universidad Nacional de Colombia M2","2013-07-15","","53.55922167"
"Universidad Nacional de Colombia M2","2013-07-14","","47.91209126"
"Universidad Nacional de Colombia M2","2013-07-13","","60.93610414"
"Universidad Nacional de Colombia M2","2013-07-12","","56.43874955"
"Universidad Nacional de Colombia M2","2013-07-11","","60.24420333"
"Universidad Nacional de Colombia M2","2013-07-10","","62.06552982"
"Universidad Nacional de Colombia M2","2013-07-09","","54.63777228"
"Universidad Nacional de Colombia M2","2013-07-08","","44.07611156"
"Universidad Nacional de Colombia M2","2013-07-07","","39.86365724"
"Universidad Nacional de Colombia M2","2013-07-06","","35.52503147"
"Universidad Nacional de Colombia M2","2013-05-14","","49.5923232"
"Universidad Nacional de Colombia M2","2013-05-13","","35.32356763"
"Universidad Nacional de Colombia M2","2013-05-12","","34.05169042"
"Universidad Nacional de Colombia M2","2013-05-11","","25.49789831"
"Universidad Nacional de Colombia M2","2013-04-26","","130.62271321"
"Universidad Nacional de Colombia M2","2013-04-25","","79.7374866"
"Universidad Nacional de Colombia M2","2013-04-24","","54.42206236"
"Universidad Nacional de Colombia M2","2013-04-23","","92.7309761"
"Universidad Nacional de Colombia M2","2013-04-22","","59.25519196"
"Universidad Nacional de Colombia M2","2013-04-20","","87.5518961"
"Universidad Nacional de Colombia M2","2013-04-19","","82.92226648"
"Universidad Nacional de Colombia M2","2013-04-18","","75.7997582"
"Universidad Nacional de Colombia M2","2013-04-17","","62.10419559"
"Universidad Nacional de Colombia M2","2013-04-16","","57.37281553"
"Universidad Nacional de Colombia M2","2013-04-15","","61.33089542"
"Universidad Nacional de Colombia M2","2013-04-14","","64.58689753"
"Universidad Nacional de Colombia M2","2013-04-13","","65.83842468"
"Universidad Nacional de Colombia M2","2013-04-12","","75.52503506"
"Universidad Nacional de Colombia M2","2013-04-11","","77.14286025"
"Universidad Nacional de Colombia M2","2013-04-10","","54.11681286"
"Universidad Nacional de Colombia M2","2013-04-09","","63.2743214"
"Universidad Nacional de Colombia M2","2013-04-08","","58.36465836"
"Universidad Nacional de Colombia M2","2013-04-07","","55.91778882"
"Universidad Nacional de Colombia M2","2013-04-06","","65.87912313"
"Universidad Nacional de Colombia M2","2013-04-05","","76.12535906"
"Universidad Nacional de Colombia M2","2013-04-04","","58.2173419"
"Universidad Nacional de Colombia M2","2013-04-03","","46.22100385"
"Universidad Nacional de Colombia M2","2013-04-02","","46.36345379"
"Universidad Nacional de Colombia M2","2013-04-01","","54.78836465"
"Universidad Nacional de Colombia M2","2013-03-31","","47.70833333"
"Universidad Nacional de Colombia M2","2013-03-30","","45.83333333"
"Universidad Nacional de Colombia M2","2013-03-29","","41.20833333"
"Universidad Nacional de Colombia M2","2013-03-28","","59.16666667"
"Universidad Nacional de Colombia M2","2013-03-27","","64.54166667"
"Universidad Nacional de Colombia M2","2013-03-26","","55.66666667"
"Universidad Nacional de Colombia M2","2013-03-25","","55.95833333"
"Universidad Nacional de Colombia M2","2013-03-24","","61.08333333"
"Universidad Nacional de Colombia M2","2013-03-23","","61.91666667"
"Universidad Nacional de Colombia M2","2013-03-22","","73.33333333"
"Universidad Nacional de Colombia M2","2013-03-21","","82.29166667"
"Universidad Nacional de Colombia M2","2013-03-20","","71.875"
"Universidad Nacional de Colombia M2","2013-03-19","","80.29166667"
"Universidad Nacional de Colombia M2","2013-03-18","","71.45833333"
"Universidad Nacional de Colombia M2","2013-03-17","","48.625"
"Universidad Nacional de Colombia M2","2013-03-16","","50.91666667"
"Universidad Nacional de Colombia M2","2013-03-15","","53.16666667"
"Universidad Nacional de Colombia M2","2013-03-14","","77.70833333"
"Universidad Nacional de Colombia M2","2013-03-13","","60.64285714"
"Universidad Nacional de Colombia M2","2013-03-11","","66.6"
"Universidad Nacional de Colombia M2","2013-03-10","","57.875"
"Universidad Nacional de Colombia M2","2013-03-09","","72.58333333"
"Universidad Nacional de Colombia M2","2013-03-08","","64.58333333"
"Universidad Nacional de Colombia M2","2013-03-07","","62.33333333"
"Universidad Nacional de Colombia M2","2013-03-06","","58.08333333"
"Universidad Nacional de Colombia M2","2013-03-05","","55.83333333"
"Universidad Nacional de Colombia M2","2013-03-04","","57.6875"
"Universidad Nacional de Colombia M2","2013-03-01","","67.11764706"
"Universidad Nacional de Colombia M2","2013-02-28","","56.45833333"
"Universidad Nacional de Colombia M2","2013-02-27","","53.58333333"
"Universidad Nacional de Colombia M2","2013-02-26","","76.625"
"Universidad Nacional de Colombia M2","2013-02-25","","70.20833333"
"Universidad Nacional de Colombia M2","2013-02-24","","58.25"
"Universidad Nacional de Colombia M2","2013-02-23","","63.41666667"
"Universidad Nacional de Colombia M2","2013-02-22","","54.875"
"Universidad Nacional de Colombia M2","2013-02-21","","65.29166667"
"Universidad Nacional de Colombia M2","2013-02-20","","47.29166667"
"Universidad Nacional de Colombia M2","2013-02-19","","63.16666667"
"Universidad Nacional de Colombia M2","2013-02-18","","62.54166667"
"Universidad Nacional de Colombia M2","2013-02-17","","62.625"
"Universidad Nacional de Colombia M2","2013-02-16","","77.5"
"Universidad Nacional de Colombia M2","2013-02-15","","65.41666667"
"Universidad Nacional de Colombia M2","2013-02-14","","77.75"
"Universidad Nacional de Colombia M2","2013-02-13","","65.41666667"
"Universidad Nacional de Colombia M2","2013-02-12","","69.70833333"
"Universidad Nacional de Colombia M2","2013-02-11","","58.125"
"Universidad Nacional de Colombia M2","2013-02-10","","44.95833333"
"Universidad Nacional de Colombia M2","2013-02-09","","59.79166667"
"Universidad Nacional de Colombia M2","2013-02-08","","69.70833333"
"Universidad Nacional de Colombia M2","2013-02-07","","51.04166667"
"Universidad Nacional de Colombia M2","2013-02-06","","62.70833333"
"Universidad Nacional de Colombia M2","2013-02-05","","92.625"
"Universidad Nacional de Colombia M2","2013-02-01","","49.66666667"
"Universidad Nacional de Colombia M2","2013-01-31","","56.85714286"
"Universidad Nacional de Colombia M2","2013-01-30","","59.54166667"
"Universidad Nacional de Colombia M2","2013-01-29","","69.9047619"
"Universidad Nacional de Colombia M2","2013-01-28","","59.20833333"
"Universidad Nacional de Colombia M2","2013-01-27","","49.13043478"
"Universidad Nacional de Colombia M2","2013-01-26","","68.25"
"Universidad Nacional de Colombia M2","2013-01-25","","54.95833333"
"Universidad Nacional de Colombia M2","2013-01-24","","45.95833333"
"Universidad Nacional de Colombia M2","2013-01-23","","52.45833333"
"Universidad Nacional de Colombia M2","2013-01-22","","72.70833333"
"Universidad Nacional de Colombia M2","2013-01-21","","71.375"
"Universidad Nacional de Colombia M2","2013-01-20","","51.16666667"
"Universidad Nacional de Colombia M2","2013-01-19","","41.3125"
"Universidad Nacional de Colombia M2","2013-01-18","","54.25"
"Universidad Nacional de Colombia M2","2013-01-03","","51.625"
"Universidad Nacional de Colombia M2","2013-01-02","","42.81481481"
"Universidad Nacional de Colombia M2","2013-01-01","","50.60869565"
"Universidad Nacional de Colombia M2","2012-12-31","","47.0"
"Universidad Nacional de Colombia M2","2012-12-30","","44.47826087"
"Universidad Nacional de Colombia M2","2012-12-29","","50.83333333"
"Universidad Nacional de Colombia M2","2012-12-28","","50.08333333"
"Universidad Nacional de Colombia M2","2012-12-27","","40.125"
"Universidad Nacional de Colombia M2","2012-12-26","","40.45833333"
"Universidad Nacional de Colombia M2","2012-12-25","","54.66666667"
"Universidad Nacional de Colombia M2","2012-12-24","","73.3125"
"Universidad Nacional de Colombia M2","2012-12-22","","47.33333333"
"Universidad Nacional de Colombia M2","2012-12-21","","46.56521739"
"Universidad Nacional de Colombia M2","2012-12-20","","53.75"
"Universidad Nacional de Colombia M2","2012-12-19","","43.15384615"
"Universidad Nacional de Colombia M2","2012-12-18","","67.90909091"
"Universidad Nacional de Colombia M2","2012-12-16","","52.72727273"
"Universidad Nacional de Colombia M2","2012-12-15","","55.83333333"
"Universidad Nacional de Colombia M2","2012-12-14","","68.16666667"
"Universidad Nacional de Colombia M2","2012-12-13","","57.66666667"
"Universidad Nacional de Colombia M2","2012-12-12","","55.65"
"Universidad Nacional de Colombia M2","2012-12-11","","64.875"
"Universidad Nacional de Colombia M2","2012-12-10","","46.39130435"
"Universidad Nacional de Colombia M2","2012-12-09","","49.04347826"
"Universidad Nacional de Colombia M2","2012-12-08","","49.86363636"
"Universidad Nacional de Colombia M2","2012-12-07","","54.0"
"Universidad Nacional de Colombia M2","2012-12-06","","47.70833333"
"Universidad Nacional de Colombia M2","2012-12-05","","49.25"
"Universidad Nacional de Colombia M2","2012-12-04","","47.5"
"Universidad Nacional de Colombia M2","2012-12-03","","55.79166667"
"Universidad Nacional de Colombia M2","2012-12-02","","58.0"
"Universidad Nacional de Colombia M2","2012-12-01","","92.13043478"
"Universidad Nacional de Colombia M2","2012-11-30","","75.16666667"
"Universidad Nacional de Colombia M2","2012-11-29","","51.0"
"Universidad Nacional de Colombia M2","2012-11-28","","45.875"
"Universidad Nacional de Colombia M2","2012-11-27","","48.66666667"
"Universidad Nacional de Colombia M2","2012-11-26","","43.22222222"
"Universidad Nacional de Colombia M2","2012-11-20","","51.625"
"Universidad Nacional de Colombia M2","2012-11-19","","73.625"
"Universidad Nacional de Colombia M2","2012-11-16","","50.5"
"Universidad Nacional de Colombia M2","2012-11-15","","83.125"
"Universidad Nacional de Colombia M2","2012-11-14","","76.125"
"Universidad Nacional de Colombia M2","2012-11-13","","70.83333333"
"Universidad Nacional de Colombia M2","2012-11-12","","53.25"
"Universidad Nacional de Colombia M2","2012-11-11","","54.16666667"
"Universidad Nacional de Colombia M2","2012-11-10","","52.20833333"
"Universidad Nacional de Colombia M2","2012-11-09","","48.41666667"
"Universidad Nacional de Colombia M2","2012-11-08","","50.95833333"
"Universidad Nacional de Colombia M2","2012-11-07","","50.875"
"Universidad Nacional de Colombia M2","2012-11-06","","60.8125"
"Universidad Nacional de Colombia M2","2012-11-05","","47.16666667"
"Universidad Nacional de Colombia M2","2012-11-04","","39.75"
"Universidad Nacional de Colombia M2","2012-11-03","","43.83333333"
"Universidad Nacional de Colombia M2","2012-11-02","","41.8"
"Universidad Nacional de Colombia M2","2012-11-01","","63.125"
"Universidad Nacional de Colombia M2","2011-11-17","","78.36108745"
"Universidad Nacional de Colombia M2","2011-11-16","","111.16955021"
"Universidad Nacional de Colombia M2","2011-11-12","","87.77574666"
"Universidad Nacional de Colombia M2","2011-11-10","","78.93976784"
"Universidad Nacional de Colombia M2","2011-11-09","","82.29141665"
"Universidad Nacional de Colombia M2","2011-11-08","","85.34391832"
"Universidad Nacional de Colombia M2","2011-11-07","","51.44078374"
"Universidad Nacional de Colombia M2","2011-11-06","","50.21049251"
"Universidad Nacional de Colombia M2","2011-11-05","","71.97395484"
"Universidad Nacional de Colombia M2","2011-11-04","","78.51648641"
"Universidad Nacional de Colombia M2","2011-11-03","","60.48636794"
"Universidad Nacional de Colombia M2","2011-11-02","","51.57305892"
"Universidad Nacional de Colombia M2","2011-11-01","","47.66585513"
"Universidad Nacional de Colombia M2","2011-10-31","","42.03907478"
"Universidad Nacional de Colombia M2","2011-10-30","","55.55148856"
"Universidad Nacional de Colombia M2","2011-10-29","","93.28529391"
"Universidad Nacional de Colombia M2","2011-10-28","","70.67494541"
"Universidad Nacional de Colombia M2","2011-07-17","","839.81074524"
"Universidad Nacional de Colombia M2","2011-07-16","","220.9361043"
"Universidad Nacional de Colombia M2","2011-07-15","","90.65527447"
"Universidad Nacional de Colombia M2","2011-07-14","","87.50102075"
"Universidad Nacional de Colombia M2","2011-07-13","","151.23001989"
"Universidad Nacional de Colombia M2","2011-07-12","","76.37973404"
"Universidad Nacional de Colombia M2","2011-07-11","","96.67888149"
"Universidad Nacional de Colombia M2","2011-07-10","","53.69918747"
"Universidad Nacional de Colombia M2","2011-07-09","","72.63391678"
"Universidad Nacional de Colombia M2","2011-07-08","","82.04729034"
"Universidad Nacional de Colombia M2","2011-07-07","","83.87377197"
"Universidad Nacional de Colombia M2","2011-07-06","","106.62053421"
"Universidad Nacional de Colombia M2","2011-07-05","","65.87492386"
"Universidad Nacional de Colombia M2","2011-07-04","","49.57337421"
"Universidad Nacional de Colombia M2","2011-07-03","","73.11587052"
"Universidad Nacional de Colombia M2","2011-07-02","","72.43182929"
"Universidad Nacional de Colombia M2","2011-07-01","","74.38543248"
"Universidad Nacional de Colombia M2","2011-06-30","","95.92593129"
"Universidad Nacional de Colombia M2","2011-06-29","","94.18600432"
"Universidad Nacional de Colombia M2","2011-06-28","","90.46154144"
"Universidad Nacional de Colombia M2","2011-06-27","","29.43223476"
"Universidad Nacional de Colombia M2","2011-06-26","","32.14041656"
"Universidad Nacional de Colombia M2","2011-06-25","","143.84944417"
"Universidad Nacional de Colombia M2","2011-06-24","","514.87518766"
"Universidad Nacional de Colombia M2","2011-06-23","","189.62759726"
"Universidad Nacional de Colombia M2","2011-06-21","","995.0"
"Universidad Nacional de Colombia M2","2011-06-20","","302.01606413"
"Universidad Nacional de Colombia M2","2011-06-17","","77.29548454"
"Universidad Nacional de Colombia M2","2011-06-16","","83.88889281"
"Universidad Nacional de Colombia M2","2011-06-15","","66.83557534"
"Universidad Nacional de Colombia M2","2011-06-14","","357.84425688"
"Universidad Nacional de Colombia M2","2011-06-13","","264.45904296"
"Universidad Nacional de Colombia M2","2011-06-12","","64.35286713"
"Universidad Nacional de Colombia M2","2011-06-11","","71.97924606"
"Universidad Nacional de Colombia M2","2011-06-10","","139.36182701"
"Universidad Nacional de Colombia M2","2011-06-09","","121.46316833"
"Universidad Nacional de Colombia M2","2011-06-08","","62.90203599"
"Universidad Nacional de Colombia M2","2011-06-07","","186.0883255"
"Universidad Nacional de Colombia M2","2011-06-06","","106.84372131"
